O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,state_city,constituency_from_link
1,Gilbert Mariano Rodrigues,All India Trinamool Congress,295,1558,844,113,207,214,Goa-Cortalim,Cortalim
2,Narayan Naik,Bharatiya Janata Party,749,263,709,251,118,274,Goa-Cortalim,Cortalim
3,Olencio Simoes,Indian National Congress,437,212,346,934,1350,976,Goa-Cortalim,Cortalim
4,Alina Saldanha,Aam Aadmi Party,138,101,256,270,336,205,Goa-Cortalim,Cortalim
5,Bhakti Bhalchandra Khadapkar,Shiv Sena,12,5,11,8,7,12,Goa-Cortalim,Cortalim
6,Teotonio Inacio Santana Costa,Revolutionary Goans Party,379,30,38,557,749,678,Goa-Cortalim,Cortalim
7,Antonio Vas,Independent,1172,932,513,1350,826,637,Goa-Cortalim,Cortalim
8,Girish Pillai,Independent,816,1243,1411,307,233,212,Goa-Cortalim,Cortalim
9,Vishal Gajanan Naik,Independent,15,13,5,8,7,18,Goa-Cortalim,Cortalim
10,NOTA,None of the Above,28,55,37,24,26,41,Goa-Cortalim,Cortalim
