O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,state_city,constituency_from_link
1,DAYANAND RAGHUNATH SOPTE,Bharatiya Janata Party,701,750,840,1129,1245,871,953,1155,896,733,Goa-Mandrem,Mandrem
2,DEEPAK BHALCHANDRA KALANGUTKAR,Goa Forward Party,181,143,142,164,103,82,90,323,312,97,Goa-Mandrem,Mandrem
3,JIT VINAYAK AROLKAR,Maharashtrawadi Gomantak,841,869,937,1419,1203,1268,1216,695,1096,600,Goa-Mandrem,Mandrem
4,BABLI BHASKAR NAIK,Shiv Sena,15,21,4,29,8,9,13,9,4,4,Goa-Mandrem,Mandrem
5,D'COSTA MARIA,Sambhaji Brigade Party,3,4,3,9,8,0,2,4,9,4,Goa-Mandrem,Mandrem
6,PRASAD K. SHAHAPURKAR,Aam Aadmi Party,19,18,27,65,36,20,17,17,20,23,Goa-Mandrem,Mandrem
7,SUNAYANA RAJANIKANT GAWDE,Revolutionary Goans Party,98,90,127,114,169,131,146,79,142,111,Goa-Mandrem,Mandrem
8,LAXMIKANT PARSEKAR,Independent,509,588,939,703,667,389,414,342,455,501,Goa-Mandrem,Mandrem
9,Satish Sitaram Shetgaonkar,Independent,7,4,15,17,18,39,67,10,4,3,Goa-Mandrem,Mandrem
10,NOTA,None of the Above,22,23,30,27,28,28,34,25,25,17,Goa-Mandrem,Mandrem
