O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,state_city,constituency_from_link
1,Avertano Furtado,Indian National Congress,603,737,785,886,508,197,Goa-Navelim,Navelim
2,Mohammad Rehan Mujawar,Nationalist Congress Party,239,408,215,460,517,770,Goa-Navelim,Navelim
3,Ulhas Tuenkar,Bharatiya Janata Party,509,303,1035,1197,1492,548,Goa-Navelim,Navelim
4,Valanka Natasha Alemao,All India Trinamool Congress,522,608,824,963,968,797,Goa-Navelim,Navelim
5,Bento Da Silva,Revolutionary Goans Party,484,582,576,252,136,38,Goa-Navelim,Navelim
6,Pratima Betsy Coutinho,Aam Aadmi Party,790,546,441,229,165,126,Goa-Navelim,Navelim
7,Antonio Alvares,Independent,36,61,31,11,11,9,Goa-Navelim,Navelim
8,Digvijit Chavan,Independent,21,33,44,20,45,20,Goa-Navelim,Navelim
9,Francisco Andre Colaco,Independent,7,5,11,29,11,3,Goa-Navelim,Navelim
10,NOTA,None of the Above,22,29,27,39,39,11,Goa-Navelim,Navelim
