O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,ARUN NARANG,Bharatiya Janata Party,1487,1719,2016,1293,1146,1476,2689,2354,1671,954,1069,2586,872,Punjab-Abohar,Abohar
2,SANDEEP JAKHAR,Indian National Congress,3590,3826,3391,3041,3180,3713,3824,3512,4232,4959,4792,4802,2528,Punjab-Abohar,Abohar
3,KULDEEP KUMAR alias DEEP KAMBOJ,Aam Aadmi Party,3198,3913,2514,3804,3802,3497,3531,3086,3321,4964,4447,1915,1843,Punjab-Abohar,Abohar
4,MOHINDER KUMAR RINWA,Shiromani Akali Dal,1329,1041,419,884,794,1055,841,999,1369,1687,1748,1387,654,Punjab-Abohar,Abohar
5,BALVIR RAM,Republican Party of India (A),26,18,6,21,8,11,16,16,16,18,28,16,13,Punjab-Abohar,Abohar
6,HANS RAJ,Independent,28,10,5,14,14,24,25,7,17,21,23,13,8,Punjab-Abohar,Abohar
7,CHARANJIT,Independent,34,35,15,28,39,26,20,31,46,54,49,26,22,Punjab-Abohar,Abohar
8,BALJINDER SINGH,Independent,58,51,14,90,73,46,36,63,185,56,112,62,45,Punjab-Abohar,Abohar
9,RANJIT KUMAR,Independent,37,28,10,11,15,23,44,32,38,41,44,29,18,Punjab-Abohar,Abohar
10,NOTA,None of the Above,78,53,40,35,54,60,70,64,61,63,58,55,30,Punjab-Abohar,Abohar
