O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,SUKHWINDER SINGH KOTLI,Indian National Congress,2117,2452,1782,2566,2911,2805,3460,2414,2207,2352,2539,2334,2006,2588,3211,1629,Punjab-Adampur,Adampur
2,JIT LAL BHATTI,Aam Aadmi Party,2123,2953,2954,1527,1579,1234,1253,1686,1897,1510,1965,1443,1638,1997,1905,1023,Punjab-Adampur,Adampur
3,PAWAN KUMAR TINU,Shiromani Akali Dal,2536,1923,2444,2535,2564,1985,3172,2245,2487,1713,2180,2114,2130,2020,1645,1086,Punjab-Adampur,Adampur
4,SUNNY JASSAL,Aazad Samaj Party (Kanshi Ram),101,41,67,62,62,78,50,31,25,34,50,29,37,32,33,27,Punjab-Adampur,Adampur
5,HARBHAJAN SINGH,Jai Jawan Jai Kisan Party,39,42,13,22,20,20,19,20,20,12,26,17,11,13,21,11,Punjab-Adampur,Adampur
6,JAGDISH KUMAR JASSAL,Punjab Lok Congress Party,32,231,49,24,41,14,105,54,54,456,58,21,13,36,48,39,Punjab-Adampur,Adampur
7,RAJDEEP KAUR,Bahujan Mukti Party,15,11,16,7,5,13,12,15,27,12,12,8,11,10,11,8,Punjab-Adampur,Adampur
8,VINOD KUMAR,Bahujan Samaj Party (Ambedkar),43,23,27,18,23,18,63,20,29,12,26,23,26,23,27,7,Punjab-Adampur,Adampur
9,PATRAS,Independent,55,37,41,29,18,11,21,19,25,20,18,15,15,23,24,7,Punjab-Adampur,Adampur
10,PARSHOTAM RAJ AHIR,Independent,151,194,386,710,283,545,191,242,247,235,438,623,380,639,311,152,Punjab-Adampur,Adampur
11,NOTA,None of the Above,77,72,81,89,64,62,58,59,74,74,76,79,68,91,88,38,Punjab-Adampur,Adampur
