O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,AMARPAL SINGH BONNY AJNALA,Shiromani Akali Dal,2015,2535,2236,2828,2633,3474,2733,2380,2385,2981,2539,2990,2149,1671,Punjab-Ajnala,Ajnala
2,HARPARTAP SINGH,Indian National Congress,1972,2280,2701,2847,2372,2521,2296,2381,2713,2543,2322,2850,2784,1213,Punjab-Ajnala,Ajnala
3,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,2645,3393,2617,3675,2729,3145,3137,3420,3698,2958,3131,3302,3546,1861,Punjab-Ajnala,Ajnala
4,AMRIK SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),125,218,148,78,96,79,132,215,198,180,231,268,143,58,Punjab-Ajnala,Ajnala
5,SURJEET SINGH,Punjab Lok Congress Party,20,36,45,55,25,52,28,23,49,18,24,23,23,14,Punjab-Ajnala,Ajnala
6,CHARNJEET SINGH,Sanyukt Sangharsh Party,22,50,76,43,36,29,14,25,85,23,40,34,63,40,Punjab-Ajnala,Ajnala
7,AMIT MOHAN,Independent,17,26,23,40,16,10,16,17,17,13,17,17,13,6,Punjab-Ajnala,Ajnala
8,SONA MASIH JAFAR,Independent,264,650,455,221,299,137,249,193,118,68,149,136,93,74,Punjab-Ajnala,Ajnala
9,HARPARTAP SINGH,Independent,78,90,84,148,74,63,38,64,86,52,65,71,61,54,Punjab-Ajnala,Ajnala
10,KARANJIT SINGH,Independent,30,27,39,57,37,25,25,37,49,26,31,53,36,13,Punjab-Ajnala,Ajnala
11,NOTA,None of the Above,48,52,58,112,45,69,47,57,59,46,65,67,60,36,Punjab-Ajnala,Ajnala
