O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,IQBAL SINGH JHUNDAN,Shiromani Akali Dal,2369,2409,1950,1812,1832,1323,1287,1256,1809,1420,1418,2233,2527,2006,319,Punjab-Amargarh,Amargarh
2,SMIT SINGH MANN,Indian National Congress,1701,1362,1085,1390,969,1082,1689,1288,1089,746,1248,895,1434,712,199,Punjab-Amargarh,Amargarh
3,PROF. JASWANT SINGH GAJJAN MAJRA,Aam Aadmi Party,2836,3872,2939,3339,2979,2766,2378,3634,2892,3817,3246,3042,2639,3241,674,Punjab-Amargarh,Amargarh
4,SARDAR ALI,Punjab Lok Congress Party,184,475,160,36,46,138,33,61,28,24,30,25,56,23,4,Punjab-Amargarh,Amargarh
5,SIMRANJIT SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1811,1401,1790,2584,2802,2865,3680,2159,3455,3209,3699,3122,2569,2636,603,Punjab-Amargarh,Amargarh
6,KAMALJEET SINGH,Peoples Party of India (Democratic),6,13,11,91,22,11,19,11,26,13,11,28,14,13,4,Punjab-Amargarh,Amargarh
7,AMAR SINGH,Independent,4,16,10,14,15,13,29,11,15,7,16,17,13,16,1,Punjab-Amargarh,Amargarh
8,SATWINDER KAUR,Independent,18,10,3,19,9,18,29,21,20,7,16,20,11,34,5,Punjab-Amargarh,Amargarh
9,SATVIR SINGH SHEERA BANBHAURA,Independent,14,10,15,20,22,23,38,33,23,23,43,31,12,22,4,Punjab-Amargarh,Amargarh
10,JAGPAL SINGH,Independent,8,14,4,14,18,11,19,10,19,17,13,14,14,12,8,Punjab-Amargarh,Amargarh
11,DILBAGH SINGH,Independent,18,25,16,34,20,22,31,28,30,24,29,35,24,35,7,Punjab-Amargarh,Amargarh
12,LACHHMAN SINGH,Independent,21,18,18,20,19,24,30,24,17,22,19,19,19,13,4,Punjab-Amargarh,Amargarh
13,NOTA,None of the Above,35,51,36,44,46,37,53,36,46,35,36,42,46,39,12,Punjab-Amargarh,Amargarh
