O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,Kanwarveer Singh Tohra,Bharatiya Janata Party,525,2668,2034,1272,952,501,274,155,557,242,98,97,74,Punjab-Amloh,Amloh
2,Gurpreet Singh Raju Khanna,Shiromani Akali Dal,1984,1219,1484,1671,1665,1912,2712,2955,3047,2426,2383,3082,1589,Punjab-Amloh,Amloh
3,Gurinder Singh Garry Birring,Aam Aadmi Party,4682,4154,4172,4598,4186,3803,4073,4345,4267,3730,3413,4175,3050,Punjab-Amloh,Amloh
4,Kaka Randeep Singh Nabha,Indian National Congress,1213,772,709,854,1315,1383,1308,1658,930,1346,1514,2096,947,Punjab-Amloh,Amloh
5,Sanjeev Kumar Pilot,Janata Dal (United),16,24,12,15,24,29,34,24,21,22,20,29,22,Punjab-Amloh,Amloh
6,Sutantardeep Singh Badgujran,Lok Insaaf Party,9,6,10,19,16,15,39,4,5,14,6,13,6,Punjab-Amloh,Amloh
7,Gurbachan Singh,Punjab Kisan Dal,21,8,15,16,17,26,21,15,14,14,7,18,12,Punjab-Amloh,Amloh
8,Jaspal Singh (Harman Tiwana),Jai Jawan Jai Kisan Party,30,26,38,28,31,39,28,29,28,23,24,35,17,Punjab-Amloh,Amloh
9,Dharampal,National Apni Party,43,14,23,7,20,24,11,29,16,21,30,37,14,Punjab-Amloh,Amloh
10,Lakhvir Singh Sounti,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),331,85,159,179,258,216,444,673,282,287,407,302,167,Punjab-Amloh,Amloh
11,Sewa Ram Singh,Independent,28,7,23,10,30,32,37,38,19,32,35,40,25,Punjab-Amloh,Amloh
12,Darshan Singh Babbi,Independent,90,24,57,26,43,73,107,331,90,104,126,107,61,Punjab-Amloh,Amloh
13,NOTA,None of the Above,41,55,43,34,50,36,44,49,36,31,34,37,28,Punjab-Amloh,Amloh
