O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,JAGMOHAN SINGH RAJU,Bharatiya Janata Party,268,261,810,821,665,230,131,466,460,1447,1089,524,83,Punjab-Amritsar East,Amritsar East
2,JEEVAN JYOT KAUR,Aam Aadmi Party,3058,2941,3027,3119,3731,2906,3230,3524,2753,2907,3061,3001,2262,Punjab-Amritsar East,Amritsar East
3,NAVJOT SINGH SIDHU,Indian National Congress,2091,2652,2778,2559,2834,2492,2339,2589,3154,2839,2801,2588,1091,Punjab-Amritsar East,Amritsar East
4,BIKRAM SINGH MAJITHIA,Shiromani Akali Dal,2468,2328,2036,1973,1833,1990,1835,1691,2645,1475,2157,1782,899,Punjab-Amritsar East,Amritsar East
5,HARPAL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),144,104,80,46,29,84,106,81,48,17,32,50,87,Punjab-Amritsar East,Amritsar East
6,TARSEM LAL,Bahujan Mukti Party,22,10,19,12,15,13,7,11,28,7,8,51,4,Punjab-Amritsar East,Amritsar East
7,RAMESH SHUKLA SAFAR,Aas Punjab Party,19,27,27,10,7,17,11,10,24,7,11,16,7,Punjab-Amritsar East,Amritsar East
8,AMARJEET SINGH,Independent,35,40,31,31,27,27,17,13,46,7,11,14,7,Punjab-Amritsar East,Amritsar East
9,SUKHJINDER SINGH,Independent,31,51,51,13,23,32,35,22,42,8,14,15,11,Punjab-Amritsar East,Amritsar East
10,BALWINDER SINGH SEKHON,Independent,31,32,34,31,19,20,17,14,29,6,7,11,9,Punjab-Amritsar East,Amritsar East
11,NOTA,None of the Above,47,66,94,63,60,57,40,51,73,38,45,33,19,Punjab-Amritsar East,Amritsar East
