O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,INDERBIR SINGH NIJJAR,Aam Aadmi Party,4067,3691,3860,4162,3791,5149,4933,5108,3461,4186,3763,4931,1805,Punjab-Amritsar South,Amritsar South
2,INDERBIR SINGH BOLARIA,Indian National Congress,1967,2240,1627,1357,1594,1406,1579,1550,2138,2116,1953,1681,1230,Punjab-Amritsar South,Amritsar South
3,TALBIR SINGH GILL,Shiromani Akali Dal,1834,1614,1997,1690,1590,2220,2150,2353,2482,2542,2139,1869,1016,Punjab-Amritsar South,Amritsar South
4,HARJINDER SINGH THEKEDAR,Punjab Lok Congress Party,315,195,181,118,169,83,57,95,37,61,77,94,79,Punjab-Amritsar South,Amritsar South
5,GURWINDER SINGH,Bahujan Samaj Party (Ambedkar),3,8,11,6,6,7,11,8,11,11,15,9,6,Punjab-Amritsar South,Amritsar South
6,Pritpal Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),25,29,48,81,77,151,171,116,108,129,156,92,19,Punjab-Amritsar South,Amritsar South
7,PHULJIT SINGH VARPAL,Republican Party of India (Athawale),9,7,5,5,4,6,11,8,7,7,8,12,4,Punjab-Amritsar South,Amritsar South
8,RITISH KHANNA,Right to Recall Party,8,5,4,2,5,4,5,5,8,10,4,4,0,Punjab-Amritsar South,Amritsar South
9,AJAY BHATIA,Independent,2,4,3,2,3,3,4,1,6,8,7,2,6,Punjab-Amritsar South,Amritsar South
10,Satbir Singh,Independent,3,3,1,7,1,2,2,5,5,8,4,3,8,Punjab-Amritsar South,Amritsar South
11,Kudratpal Singh,Independent,20,14,7,16,12,15,22,24,8,20,18,9,8,Punjab-Amritsar South,Amritsar South
12,Kuldip Singh,Independent,3,12,3,4,7,5,7,7,9,12,6,3,3,Punjab-Amritsar South,Amritsar South
13,Tarun Mehta,Independent,9,16,35,6,6,9,9,10,19,12,11,8,12,Punjab-Amritsar South,Amritsar South
14,Brahmjeet Singh,Independent,15,22,17,13,15,18,12,26,35,45,28,17,22,Punjab-Amritsar South,Amritsar South
15,LOVE KUMAR,Independent,24,28,17,7,20,17,17,22,49,46,35,24,12,Punjab-Amritsar South,Amritsar South
16,NOTA,None of the Above,65,49,46,25,40,32,41,57,59,61,68,55,33,Punjab-Amritsar South,Amritsar South
