O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,ADVOCATE HARISH RAI DHANDA,Shiromani Akali Dal,419,424,449,444,460,533,485,646,847,570,383,1245,145,Punjab-Atam Nagar,Atam Nagar
2,KAMALJIT SINGH KARWAL,Indian National Congress,2198,1963,2228,2660,2573,2747,1883,1858,2031,2744,2490,2547,198,Punjab-Atam Nagar,Atam Nagar
3,KULWANT SINGH SIDHU,Aam Aadmi Party,3513,3694,4181,4155,3632,4288,4032,3502,3426,3040,3109,3214,583,Punjab-Atam Nagar,Atam Nagar
4,PREM MITTAL,Bharatiya Janata Party,574,526,551,541,657,493,1102,1040,854,1287,895,772,115,Punjab-Atam Nagar,Atam Nagar
5,ANIL KUMAR GOYAL,Insaniyat Lok Vikas Party,5,7,15,9,3,10,2,3,15,4,6,11,1,Punjab-Atam Nagar,Atam Nagar
6,Simarjeet Singh Bains,Lok Insaaf Party,979,1200,1293,1200,1086,919,1052,809,877,1193,1052,893,101,Punjab-Atam Nagar,Atam Nagar
7,KUNAL,Akhil Bharatiya Socialist Party,2,7,4,12,12,6,4,4,9,6,2,9,3,Punjab-Atam Nagar,Atam Nagar
8,Baljit Singh,Peoples Party of India (Democratic),5,7,5,12,15,12,4,2,3,7,3,13,0,Punjab-Atam Nagar,Atam Nagar
9,MOHINDER PAL SINGH,Samajwadi Party,5,3,3,6,1,4,2,6,11,5,2,7,0,Punjab-Atam Nagar,Atam Nagar
10,SUKHDEV SINGH,Independent,6,7,2,9,7,11,2,3,18,8,6,13,0,Punjab-Atam Nagar,Atam Nagar
11,SURINDER KAUR BAINS,Independent,7,8,5,9,7,13,7,4,14,7,8,8,1,Punjab-Atam Nagar,Atam Nagar
12,HARKIRAT SINGH RANA,Independent,30,22,31,33,23,50,76,67,74,50,51,28,3,Punjab-Atam Nagar,Atam Nagar
13,TAJINDER SINGH GUMBER (RINKU),Independent,3,7,6,7,6,12,15,6,26,6,5,10,3,Punjab-Atam Nagar,Atam Nagar
14,DAVINDER SINGH (T.N.) VISHWKARMA RAMGARHIA,Independent,17,32,26,22,31,35,22,10,41,31,24,31,1,Punjab-Atam Nagar,Atam Nagar
15,MANN SINGH RAJU,Independent,38,49,98,65,65,65,36,30,49,15,50,87,3,Punjab-Atam Nagar,Atam Nagar
16,NOTA,None of the Above,65,47,60,69,61,72,85,89,79,64,66,42,5,Punjab-Atam Nagar,Atam Nagar
