O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,GULZAR SINGH RANIKE,Shiromani Akali Dal,2814,2535,2311,2465,2523,2972,2853,2781,2694,1983,2126,2554,2664,2415,1229,Punjab-Attari,Attari
2,JASWINDER SINGH,Aam Aadmi Party,3572,3619,3629,3840,3798,5184,3754,4554,4325,2324,4116,3973,4109,3999,1719,Punjab-Attari,Attari
3,TARSEM SINGH SIALKA,Indian National Congress,1328,1435,1766,1014,1925,1523,1989,2159,2048,1525,2271,2160,2141,1831,1037,Punjab-Attari,Attari
4,BALWINDER KAUR,Bharatiya Janata Party,178,402,255,74,131,84,70,141,115,99,349,345,117,133,26,Punjab-Attari,Attari
5,AVTAR SINGH,Republican Party of India (Athawale),11,44,24,9,21,4,19,11,13,14,10,9,14,20,7,Punjab-Attari,Attari
6,SUKHCHAIN SINGH,Punjab Kisan Dal,34,33,41,23,25,29,30,42,37,29,21,38,30,31,10,Punjab-Attari,Attari
7,GURPREET SINGH,Aas Punjab Party,8,10,18,6,9,11,11,9,36,5,7,7,12,16,1,Punjab-Attari,Attari
8,GOPI SINGH,Nationalist Justice Party,9,9,13,7,9,14,15,18,8,10,6,12,12,19,8,Punjab-Attari,Attari
9,BACHITAR SINGH,Samajik Sangharsh Party,21,19,21,28,24,74,30,30,36,25,16,20,36,35,21,Punjab-Attari,Attari
10,LAKHWINDER SINGH,Bahujan Mukti Party,15,26,16,22,21,19,17,19,17,11,26,42,31,11,3,Punjab-Attari,Attari
11,KULWINDER SINGH,Independent,18,27,24,19,19,16,12,14,22,23,22,12,17,24,9,Punjab-Attari,Attari
12,TAJINDER SINGH,Independent,42,56,80,42,111,84,94,88,85,56,64,70,60,56,50,Punjab-Attari,Attari
13,RESHAM SINGH,Independent,85,181,76,69,78,96,60,80,55,44,53,37,127,48,35,Punjab-Attari,Attari
14,NOTA,None of the Above,91,89,98,85,126,117,111,98,96,72,98,90,105,65,40,Punjab-Attari,Attari
