O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,AMANDEEP SINGH MUSAFIR,Aam Aadmi Party,4027,3736,3065,4854,5743,4885,5391,3828,4093,3969,2897,4225,4871,2534,321,Punjab-Balluana,Balluana
2,PRITHI RAM MEGH,Shiromani Akali Dal,1122,985,643,1529,1658,1105,1635,1118,1583,1010,1033,1808,1897,498,108,Punjab-Balluana,Balluana
3,RAJINDER KAUR RAJPURA,Indian National Congress,1760,1772,998,1647,1160,2062,1633,2134,1780,1257,2362,1500,1405,950,213,Punjab-Balluana,Balluana
4,VANDANA SANGWAL,Bharatiya Janata Party,2799,4170,5427,2402,513,1745,1707,3224,3692,5174,3640,2214,1773,897,96,Punjab-Balluana,Balluana
5,SURINDER SINGH KHALSA,Independent,128,39,57,172,156,155,153,53,113,85,128,491,157,90,9,Punjab-Balluana,Balluana
6,SURINDER MEGH,Independent,17,22,18,19,12,16,20,79,20,22,17,22,18,14,0,Punjab-Balluana,Balluana
7,MANJIT KAUR,Independent,25,21,25,40,17,22,48,30,32,31,29,20,35,16,2,Punjab-Balluana,Balluana
8,MANDEEP SINGH,Independent,22,19,26,27,19,19,21,26,27,22,25,27,41,12,1,Punjab-Balluana,Balluana
9,RAM KUMAR MEGH,Independent,33,24,31,36,27,43,34,32,25,23,28,37,118,25,2,Punjab-Balluana,Balluana
10,NOTA,None of the Above,68,75,99,70,92,94,120,106,83,96,77,104,101,44,5,Punjab-Balluana,Balluana
