O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,SUKHWINDER KUMAR SUKHI DR.,Shiromani Akali Dal,3235,3059,2724,2230,2485,2307,2068,2528,2484,1958,2627,2857,2038,2976,1530,Punjab-Banga,Banga
2,KULJIT SINGH SARHAL,Aam Aadmi Party,1922,2337,2067,1950,2612,2088,2657,2777,1887,2495,2068,2316,1462,2122,1097,Punjab-Banga,Banga
3,TARLOCHAN SINGH,Indian National Congress,2473,2350,2138,2647,2281,2143,2054,1647,2102,2013,2151,2582,2326,2104,1099,Punjab-Banga,Banga
4,PAUL RAM,Communist Party of India,100,42,50,41,44,28,34,43,31,35,40,44,46,31,20,Punjab-Banga,Banga
5,MOHAN LAL BEHRAM,Bharatiya Janata Party,193,220,240,93,194,265,857,263,181,140,210,115,597,273,110,Punjab-Banga,Banga
6,KRISHAN LAL,Aazad Samaj Party (Kanshi Ram),37,46,48,22,47,32,13,42,61,41,41,40,45,49,20,Punjab-Banga,Banga
7,MAKHAN SINGH TAHARPURI,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),51,73,98,137,92,64,22,74,42,113,53,88,47,93,50,Punjab-Banga,Banga
8,MANJIT SINGH BHANGAL,Independent,26,32,40,29,30,39,18,43,38,52,36,41,28,49,42,Punjab-Banga,Banga
9,RAJ KUMAR MAHAL KHURD,Independent,169,220,631,224,333,261,168,523,332,492,523,475,552,819,105,Punjab-Banga,Banga
10,NOTA,None of the Above,67,75,80,45,72,58,63,74,61,68,79,86,51,79,32,Punjab-Banga,Banga
