O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,SHIV KUMAR KALYAN,Bahujan Samaj Party,971,716,411,658,541,665,462,653,637,418,370,665,544,119,Punjab-Bassi Pathana,Bassi Pathana
2,GURPREET SINGH,Indian National Congress,1123,1185,1353,1098,801,1298,1200,1345,1353,1271,1295,1241,1197,352,Punjab-Bassi Pathana,Bassi Pathana
3,RUPINDER SINGH,Aam Aadmi Party,3979,4701,3618,4806,3837,4115,3589,4205,4357,3750,3688,4105,4252,739,Punjab-Bassi Pathana,Bassi Pathana
4,SATVIR SINGH,Apni Janta Party,41,58,28,93,62,47,33,43,33,49,39,55,32,5,Punjab-Bassi Pathana,Bassi Pathana
5,JAGDEV SINGH,Lok Insaaf Party,36,47,43,32,50,29,41,44,45,56,39,76,33,11,Punjab-Bassi Pathana,Bassi Pathana
6,DALJIT SINGH,"Rashtrawadi Party of India,",25,27,26,28,27,18,26,46,39,43,55,30,28,12,Punjab-Bassi Pathana,Bassi Pathana
7,DEEPAK JYOTI,Punjab Lok Congress Party,27,48,37,127,398,29,26,272,502,40,70,27,39,3,Punjab-Bassi Pathana,Bassi Pathana
8,DHARAM SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),812,624,572,645,491,697,853,860,792,1068,780,1631,839,228,Punjab-Bassi Pathana,Bassi Pathana
9,LAKHVIR SINGH,Samajwadi Party,16,27,19,27,25,22,19,27,18,28,22,31,18,8,Punjab-Bassi Pathana,Bassi Pathana
10,AMANDEEP KAUR,Independent,332,283,588,368,352,841,244,233,204,394,285,427,378,67,Punjab-Bassi Pathana,Bassi Pathana
11,MANOHAR SINGH,Independent,899,1166,1031,833,1322,1074,1085,1250,932,1179,1228,1022,617,139,Punjab-Bassi Pathana,Bassi Pathana
12,NOTA,None of the Above,58,67,46,65,77,64,53,73,58,38,42,77,55,11,Punjab-Bassi Pathana,Bassi Pathana
