O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,SATNAM SINGH RAHI,Shiromani Akali Dal,1835,951,1486,1386,1316,1882,2330,3064,2158,1718,1234,1634,71,Punjab-Bhadaur,Bhadaur
2,CHARANJIT SINGH CHANNI,Indian National Congress,2532,2928,2435,1855,1482,1675,2653,2208,1782,2288,2153,2208,95,Punjab-Bhadaur,Bhadaur
3,BALVIR SINGH ALIAS BALBIR SINGH,Communist Party of India (Marxist),53,34,35,31,53,31,30,70,32,70,58,43,2,Punjab-Bhadaur,Bhadaur
4,LABH SINGH UGOKE,Aam Aadmi Party,4727,4194,5308,5430,5904,5739,4134,5175,5738,6008,5479,5327,351,Punjab-Bhadaur,Bhadaur
5,HANS SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),613,177,516,774,585,575,123,768,732,1265,1547,890,12,Punjab-Bhadaur,Bhadaur
6,JAGROOP SINGH,Lok Insaaf Party,26,9,22,33,21,38,9,29,38,73,50,50,2,Punjab-Bhadaur,Bhadaur
7,DHARAM SINGH FOUJI,Punjab Lok Congress Party,29,62,51,24,14,18,235,27,31,65,29,19,7,Punjab-Bhadaur,Bhadaur
8,BAGGA SINGH KAHNE KE,Punjab Kisan Dal,15,16,25,30,32,36,9,17,35,42,32,33,1,Punjab-Bhadaur,Bhadaur
9,BHAGWANT SINGH SAMAON,Communist Party of India (Marxist-Leninist) (Liberation),40,37,31,27,24,24,40,28,34,58,55,34,5,Punjab-Bhadaur,Bhadaur
10,RAJINDER SINGH,Punjab National Party,17,12,25,24,22,18,7,24,26,33,30,22,1,Punjab-Bhadaur,Bhadaur
11,KRISHAN SINGH,Independent,32,18,33,51,59,45,19,32,46,60,54,39,5,Punjab-Bhadaur,Bhadaur
12,GORA SINGH,Independent,27,21,24,26,38,46,12,28,28,34,37,15,1,Punjab-Bhadaur,Bhadaur
13,MANJIT KAUR,Independent,93,41,51,65,75,74,44,74,47,63,74,88,8,Punjab-Bhadaur,Bhadaur
14,NOTA,None of the Above,75,51,63,59,67,82,53,74,82,81,88,76,7,Punjab-Bhadaur,Bhadaur
