O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,AMRITPAL SINGH SUKHANAND,Aam Aadmi Party,3919,4100,5125,5977,5408,6005,5650,6154,4121,5038,5284,4873,5205,Punjab-Bhagha Purana,Bhagha Purana
2,TIRATH SINGH MAHLA,Shiromani Akali Dal,3802,2380,2514,1974,2480,2264,2851,2940,2426,2072,2048,3314,2240,Punjab-Bhagha Purana,Bhagha Purana
3,DARSHAN SINGH BRAR,Indian National Congress,1366,1521,1005,1074,1269,1574,1459,1393,1134,1076,1065,2265,1802,Punjab-Bhagha Purana,Bhagha Purana
4,HARJINDER SINGH,Lok Insaaf Party,14,11,15,27,21,17,15,25,26,17,14,32,20,Punjab-Bhagha Purana,Bhagha Purana
5,JASWINDER KAUR,Jai Jawan Jai Kisan Party,36,19,15,33,20,27,14,24,16,28,16,14,18,Punjab-Bhagha Purana,Bhagha Purana
6,JAGTAR SINGH RAJEANA,Shiromani Akali Dal (Sanyukt),67,72,54,990,152,358,150,231,96,259,495,202,137,Punjab-Bhagha Purana,Bhagha Purana
7,AMRITPAL SINGH,Independent,8,15,7,24,18,14,19,10,12,17,10,13,14,Punjab-Bhagha Purana,Bhagha Purana
8,DARSHAN SINGH KHOTE,Independent,15,12,22,44,27,20,19,19,22,37,17,33,32,Punjab-Bhagha Purana,Bhagha Purana
9,DARSHAN SINGH BRAR,Independent,22,22,28,36,43,39,40,40,32,45,22,52,53,Punjab-Bhagha Purana,Bhagha Purana
10,BHOLA SINGH BRAR,Independent,216,282,438,591,488,443,497,721,2979,591,356,245,830,Punjab-Bhagha Purana,Bhagha Purana
11,NOTA,None of the Above,63,75,92,93,93,84,84,109,100,91,68,98,117,Punjab-Bhagha Purana,Bhagha Purana
