O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,SEEMA KUMARI,Bharatiya Janata Party,3120,1424,1366,1821,1783,1614,1623,1979,2114,1447,1524,1666,2100,1290,2142,1471,Punjab-Bhoa,Bhoa
2,JOGINDER PAL,Indian National Congress,3973,2737,3055,3498,3730,3104,2806,3045,2707,3614,2941,3033,3200,2352,3007,1597,Punjab-Bhoa,Bhoa
3,RAKESH KUMAR,Bahujan Samaj Party,199,669,634,157,141,684,457,288,180,194,266,192,425,203,245,34,Punjab-Bhoa,Bhoa
4,LAL CHAND,Aam Aadmi Party,2099,2273,3134,2871,2788,3295,3598,3156,2969,3407,3201,4591,4211,3732,2970,1209,Punjab-Bhoa,Bhoa
5,MUNISH KUMAR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),77,88,91,54,155,29,64,54,51,40,53,66,139,80,47,12,Punjab-Bhoa,Bhoa
6,KARAM SINGH,Independent,31,40,62,49,50,32,32,34,45,37,37,50,42,47,39,16,Punjab-Bhoa,Bhoa
7,DHARMINDER,Independent,14,14,32,19,26,18,18,20,18,19,23,19,18,17,17,10,Punjab-Bhoa,Bhoa
8,YUDHVIR SINGH,Independent,42,46,44,51,44,43,50,40,34,38,34,66,65,38,46,27,Punjab-Bhoa,Bhoa
9,VIJAY KUMAR,Independent,34,24,21,36,33,21,15,22,23,25,23,15,23,18,30,15,Punjab-Bhoa,Bhoa
10,NOTA,None of the Above,45,43,43,53,49,35,40,36,36,62,35,61,73,40,49,36,Punjab-Bhoa,Bhoa
