O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,SOHAN SINGH THANDAL,Shiromani Akali Dal,1693,1160,1362,1356,632,1363,1229,1107,1169,1530,1673,1105,1760,1190,900,Punjab-Chabbewal,Chabbewal
2,HARMINDER SINGH,Aam Aadmi Party,2285,2873,2566,2933,2448,2675,2485,2227,2800,3258,3267,2326,2734,3040,1592,Punjab-Chabbewal,Chabbewal
3,DR. DILBAG RAI,Bharatiya Janata Party,321,509,127,125,475,371,340,278,376,210,133,194,155,261,167,Punjab-Chabbewal,Chabbewal
4,DR. RAJ KUMAR,Indian National Congress,4509,3139,4004,3329,3470,3560,3507,2946,3022,2776,2768,2295,2854,3224,1825,Punjab-Chabbewal,Chabbewal
5,SODHI RAM,Lok Insaaf Party,65,81,46,38,31,36,40,28,45,29,49,31,48,40,19,Punjab-Chabbewal,Chabbewal
6,GURNAM SINGH,Bharatrashtra Democratic Party,53,27,48,62,46,41,47,55,32,71,44,50,67,65,32,Punjab-Chabbewal,Chabbewal
7,DAVINDER KUMAR,Samaj Bhalai Morcha,59,7,14,34,9,9,8,5,13,11,9,14,15,16,7,Punjab-Chabbewal,Chabbewal
8,DAVINDER SINGH,Independent,10,7,6,8,12,47,14,14,10,14,15,11,18,11,9,Punjab-Chabbewal,Chabbewal
9,BUDH DAYAL,Independent,30,63,35,33,26,28,39,26,38,28,29,23,23,38,20,Punjab-Chabbewal,Chabbewal
10,RASHPAL SINGH RAJU,Independent,47,64,49,110,114,108,60,86,79,63,104,96,93,120,44,Punjab-Chabbewal,Chabbewal
11,RAMAN KUMAR,Independent,57,24,20,24,49,79,43,21,33,26,33,16,18,27,18,Punjab-Chabbewal,Chabbewal
12,NOTA,None of the Above,66,52,68,63,70,93,52,59,67,82,82,52,46,76,50,Punjab-Chabbewal,Chabbewal
