O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,HARMOHAN SINGH,Bahujan Samaj Party,211,318,302,128,176,173,153,143,341,190,272,288,120,165,444,164,200,Punjab-Chamkaur Sahib,Chamkaur Sahib
2,CHARANJIT SINGH,Aam Aadmi Party,4425,4360,4270,4400,3490,3846,3605,4464,4217,4205,4330,4477,4683,4227,4377,3612,2993,Punjab-Chamkaur Sahib,Chamkaur Sahib
3,CHARANJIT SINGH CHANNI,Indian National Congress,3233,3619,4043,4221,4391,4040,4128,3205,3724,4007,4107,3815,3517,3345,3608,2918,2227,Punjab-Chamkaur Sahib,Chamkaur Sahib
4,DARSHAN SINGH SHIVJOT,Bharatiya Janata Party,299,99,60,79,163,62,154,58,218,64,84,57,455,179,115,61,287,Punjab-Chamkaur Sahib,Chamkaur Sahib
5,GURMUKH SINGH,Samajwadi Party,11,8,22,13,11,13,5,5,19,13,10,15,7,14,18,8,6,Punjab-Chamkaur Sahib,Chamkaur Sahib
6,JAGDEEP SINGH,Marxist Leninist Party of India (Red Flag),7,3,6,9,10,6,5,6,7,6,5,35,5,8,12,6,7,Punjab-Chamkaur Sahib,Chamkaur Sahib
7,NAIB SINGH,Punjab National Party,15,20,10,10,18,8,10,14,15,13,12,21,10,13,12,13,15,Punjab-Chamkaur Sahib,Chamkaur Sahib
8,LAKHVIR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),482,705,347,261,436,425,248,403,528,325,500,591,159,334,696,313,216,Punjab-Chamkaur Sahib,Chamkaur Sahib
9,RUPINDER SINGH,Independent,27,23,24,23,35,31,25,28,18,42,26,35,22,25,20,19,17,Punjab-Chamkaur Sahib,Chamkaur Sahib
10,NOTA,None of the Above,45,39,65,38,50,50,44,42,34,40,38,38,41,36,46,34,31,Punjab-Chamkaur Sahib,Chamkaur Sahib
