O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,CAPT. SANDEEP SINGH SANDHU,Indian National Congress,2694,2868,2461,1874,2287,2606,2911,2508,3213,2592,2910,2902,3055,3444,3078,2528,Punjab-Dakha,Dakha
2,DR. K. N. S. KANG,Aam Aadmi Party,2313,2695,2979,3262,2697,2621,3036,2765,2629,2954,2233,2241,2790,3518,2015,1899,Punjab-Dakha,Dakha
3,MANPREET SINGH AYALI,Shiromani Akali Dal,3403,3441,3322,3375,3027,3011,2921,2937,3686,2602,3014,2639,3359,2918,3139,2947,Punjab-Dakha,Dakha
4,SIMRANDEEP SINGH,Revolutionary Socialist Party,17,18,21,21,15,23,21,23,24,12,16,17,20,19,11,15,Punjab-Dakha,Dakha
5,HARPREET SINGH MAKHU,Sanyukt Sangharsh Party,58,162,142,127,174,245,223,171,243,203,119,93,91,166,128,89,Punjab-Dakha,Dakha
6,KARAMJIT SINGH,Peoples Party of India (Democratic),10,6,5,11,7,6,7,6,4,7,6,1,12,4,5,5,Punjab-Dakha,Dakha
7,DAMANJIT SINGH MOHIE,Punjab Lok Congress Party,24,18,41,14,5,17,181,15,20,64,43,85,124,41,43,92,Punjab-Dakha,Dakha
8,DR. DEVINDER SINGH GILL,Aam Lok Party United,13,7,8,14,19,4,4,9,11,5,7,5,12,7,7,5,Punjab-Dakha,Dakha
9,JAGDEEP SINGH GILL,Independent,26,31,26,21,48,28,26,15,22,22,19,20,43,25,16,25,Punjab-Dakha,Dakha
10,NEETU CHHATRAN WALA,Independent,31,24,13,22,22,20,22,21,15,24,17,9,26,22,13,14,Punjab-Dakha,Dakha
11,NOTA,None of the Above,68,73,82,61,62,71,93,62,65,62,67,77,109,96,61,60,Punjab-Dakha,Dakha
