O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,SUKHJINDER SINGH RANDHAWA,Indian National Congress,2907,2857,3378,2989,3408,2739,3557,3470,2760,2642,2872,3454,2477,3122,2884,2789,2856,1200,Punjab-Dera Baba Nanak,Dera Baba Nanak
2,KULDEEP SINGH,Bharatiya Janata Party,77,85,81,155,81,71,67,161,115,180,97,140,85,111,62,145,106,21,Punjab-Dera Baba Nanak,Dera Baba Nanak
3,GURDEEP SINGH,Aam Aadmi Party,1421,2757,2247,2340,1843,1562,1133,1895,1757,1835,1623,2020,1842,2099,1167,1464,1955,376,Punjab-Dera Baba Nanak,Dera Baba Nanak
4,RAVIKARAN SINGH KAHLON,Shiromani Akali Dal,2571,3000,3130,2826,2711,3154,3153,3336,2755,3139,3107,3247,2632,2940,2559,2896,3779,985,Punjab-Dera Baba Nanak,Dera Baba Nanak
5,SATNAM SINGH,Independent,15,46,39,38,40,26,28,36,22,22,35,24,23,49,20,34,30,7,Punjab-Dera Baba Nanak,Dera Baba Nanak
6,SUKHJINDER SINGH,Independent,22,57,57,36,58,45,49,73,32,46,52,80,44,43,57,61,63,8,Punjab-Dera Baba Nanak,Dera Baba Nanak
7,GURDEEP SINGH,Independent,16,20,20,15,13,16,11,23,12,11,9,18,18,19,15,10,15,2,Punjab-Dera Baba Nanak,Dera Baba Nanak
8,JAGJIT SINGH,Independent,52,72,105,63,90,56,112,119,222,444,201,148,153,123,120,201,354,38,Punjab-Dera Baba Nanak,Dera Baba Nanak
9,DOMINIC MATTU,Independent,17,46,23,21,16,5,13,22,33,18,28,31,38,26,8,10,19,9,Punjab-Dera Baba Nanak,Dera Baba Nanak
10,MANPREET SINGH,Independent,9,15,19,13,4,10,7,11,17,3,8,17,10,16,14,14,14,1,Punjab-Dera Baba Nanak,Dera Baba Nanak
11,NOTA,None of the Above,40,71,79,59,63,50,69,79,54,65,56,85,42,61,63,72,70,19,Punjab-Dera Baba Nanak,Dera Baba Nanak
