O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,SUKHJIT SINGH KAKA LOHGARH,Indian National Congress,2551,2214,2016,2402,2486,2222,2230,2202,2372,2984,2430,2149,2390,2670,1982,Punjab-Dharamkot,Dharamkot
2,SURJIT SINGH GAGRA,Communist Party of India (Marxist),21,26,27,143,31,40,33,37,36,41,28,29,33,45,27,Punjab-Dharamkot,Dharamkot
3,JATHEDAR TOTA SINGH,Shiromani Akali Dal,1893,2574,2446,2942,2637,2150,2307,1208,1929,1511,2003,1901,1847,1798,1205,Punjab-Dharamkot,Dharamkot
4,DEVINDERJEET SINGH LADDI DHOSE,Aam Aadmi Party,3635,3360,3560,5796,3620,5471,3769,4644,5777,4771,4071,5380,4317,4270,2461,Punjab-Dharamkot,Dharamkot
5,JAGJIT SINGH,Lok Insaaf Party,11,15,24,26,16,27,29,22,50,31,31,25,28,26,19,Punjab-Dharamkot,Dharamkot
6,JUGRAJ SINGH,Democratic Bharatiya Samaj Party,10,13,16,7,13,24,12,10,6,13,20,13,12,14,15,Punjab-Dharamkot,Dharamkot
7,BALRAJ SINGH KHALSA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),431,347,323,387,292,478,481,247,355,371,709,512,505,431,320,Punjab-Dharamkot,Dharamkot
8,RAVINDER SINGH RAVI GREWAL,Punjab Lok Congress Party,34,20,30,73,52,42,57,50,130,40,44,66,49,29,29,Punjab-Dharamkot,Dharamkot
9,ANGREJ SINGH,Independent,20,24,17,30,21,48,24,31,30,39,31,25,38,30,19,Punjab-Dharamkot,Dharamkot
10,HARPREET SINGH HERO,Independent,173,76,141,103,110,234,59,89,44,129,199,103,58,41,46,Punjab-Dharamkot,Dharamkot
11,NOTA,None of the Above,41,38,27,68,41,81,51,31,59,67,56,60,46,39,38,Punjab-Dharamkot,Dharamkot
