O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,DALVIR SINGH GOLDY,Indian National Congress,2563,2199,1339,1896,1359,2259,2576,1589,1711,1612,1664,1338,1583,618,Punjab-Dhuri,Dhuri
2,PARKASH CHAND GARG,Shiromani Akali Dal,440,434,758,619,367,553,569,469,353,333,331,454,941,338,Punjab-Dhuri,Dhuri
3,BHAGWANT MANN,Aam Aadmi Party,6950,6532,5062,6240,6478,6869,5767,6675,5830,4730,4725,7015,5977,3173,Punjab-Dhuri,Dhuri
4,RANDEEP SINGH,Bharatiya Janata Party,197,106,58,145,89,122,98,303,841,1754,1208,299,117,48,Punjab-Dhuri,Dhuri
5,SUKHWINDER SINGH,National Apni Party,66,58,40,72,49,69,56,51,35,37,36,73,45,39,Punjab-Dhuri,Dhuri
6,HARPREET SINGH,Communist Party of India (Marxist-Leninist) (Liberation),21,8,8,26,16,14,15,9,7,7,7,16,5,7,Punjab-Dhuri,Dhuri
7,JASWINDER SINGH,Lok Insaaf Party,27,33,11,36,55,53,32,90,40,28,6,18,14,13,Punjab-Dhuri,Dhuri
8,NARINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),490,412,382,394,488,614,302,296,38,68,66,358,368,183,Punjab-Dhuri,Dhuri
9,PARDEEP KUMAR,Apni Ekta Party,59,45,35,54,53,61,48,30,17,12,26,46,46,22,Punjab-Dhuri,Dhuri
10,SARBJIT SINGH,Independent,69,76,98,94,237,70,58,53,18,23,24,72,235,59,Punjab-Dhuri,Dhuri
11,SHAKTI KUMAR GUPTA,Independent,56,59,25,36,33,54,40,31,24,20,29,30,25,26,Punjab-Dhuri,Dhuri
12,VIJAY SYAL,Independent,21,21,5,20,18,21,26,22,10,8,15,19,11,13,Punjab-Dhuri,Dhuri
13,NOTA,None of the Above,56,55,48,69,44,75,67,64,60,38,60,54,54,27,Punjab-Dhuri,Dhuri
