O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Ajaib Singh Ratolan,Indian National Congress,883,738,1128,958,787,750,507,436,888,607,542,567,522,607,517,Punjab-Dirba,Dirba
2,Harpal Singh Cheema,Aam Aadmi Party,5722,5153,4624,5618,5474,5801,5825,6365,5621,4939,5933,5775,5626,5046,4706,Punjab-Dirba,Dirba
3,Gulzar Singh Moonak,Shiromani Akali Dal,1726,1341,1941,1667,2004,1819,2445,2312,2847,2372,2220,2997,2400,2161,1647,Punjab-Dirba,Dirba
4,Amanpreet Singh,Jai Jawan Jai Kisan Party,24,24,14,17,30,31,42,25,27,17,22,32,39,27,21,Punjab-Dirba,Dirba
5,Soma Singh,Shiromani Akali Dal (Sanyukt),465,238,234,455,392,215,205,355,491,263,274,207,304,369,283,Punjab-Dirba,Dirba
6,Gobind Singh Chhajli,Communist Party of India (Marxist-Leninist) (Liberation),23,58,24,72,38,28,192,44,14,15,41,28,85,20,40,Punjab-Dirba,Dirba
7,Bikar Singh,Lok Insaaf Party,24,19,9,22,16,14,19,16,5,12,10,17,20,22,21,Punjab-Dirba,Dirba
8,Mandeep Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),752,551,387,973,633,436,421,373,257,414,436,338,865,1255,898,Punjab-Dirba,Dirba
9,Malvinder Singh,Sanyukt Sangharsh Party,139,83,50,44,35,53,61,19,25,31,52,427,61,36,75,Punjab-Dirba,Dirba
10,Avtar Singh Namberdar,Independent,60,66,48,53,54,36,38,67,46,35,54,54,65,54,45,Punjab-Dirba,Dirba
11,Gurmeet Singh,Independent,39,27,19,24,23,28,20,17,25,15,21,31,130,27,24,Punjab-Dirba,Dirba
12,Ran Singh Mehlan,Independent,162,33,28,27,46,37,47,45,56,31,55,55,33,30,37,Punjab-Dirba,Dirba
13,Lal Singh,Independent,51,55,46,60,53,52,45,78,80,44,83,71,66,57,49,Punjab-Dirba,Dirba
14,NOTA,None of the Above,66,50,54,80,56,69,84,58,66,60,79,84,64,73,55,Punjab-Dirba,Dirba
