O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,KUSHALDEEP SINGH DHILLON 'KIKKI DHILLON',Indian National Congress,3182,2942,2907,2797,2891,2736,2745,2228,2609,1727,1704,2089,1955,512,Punjab-Faridkot,Faridkot
2,GURDIT SINGH SEKHON,Aam Aadmi Party,3655,3716,4313,3535,4528,3832,4632,4105,4011,3469,4728,3862,3716,587,Punjab-Faridkot,Faridkot
3,GAURAV KAKKAR,Bharatiya Janata Party,65,84,174,61,81,58,51,270,220,501,162,307,323,28,Punjab-Faridkot,Faridkot
4,PARAMBANS SINGH 'BUNTY ROMANA',Shiromani Akali Dal,3346,3130,3690,3045,3013,3250,3120,2597,2246,1822,2335,2004,2330,472,Punjab-Faridkot,Faridkot
5,SATNAM SINGH,Communist Party of India (Marxist-Leninist) (Liberation),29,26,24,22,29,28,26,17,20,11,12,8,13,3,Punjab-Faridkot,Faridkot
6,SUKHBIR SINGH,Republican Party of India Ektavadi,4,12,13,11,11,10,7,18,21,28,10,6,6,1,Punjab-Faridkot,Faridkot
7,GURSAWAK SINGH BHANA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),117,146,117,109,180,185,109,136,64,107,83,100,91,13,Punjab-Faridkot,Faridkot
8,GURCHARAN SINGH SANGHA,Lok Insaaf Party,38,21,45,26,20,19,23,16,14,13,10,7,14,0,Punjab-Faridkot,Faridkot
9,GURJIT KAUR,Bharatiya Jan Jagriti Party,9,12,9,12,3,4,8,18,11,6,8,6,7,2,Punjab-Faridkot,Faridkot
10,JAGDISH RAI SHARMA,Samajwadi Party,19,17,23,12,20,14,13,28,17,11,13,12,23,3,Punjab-Faridkot,Faridkot
11,AMANDEEP SINGH,Independent,33,23,47,25,30,30,31,34,26,19,26,13,23,2,Punjab-Faridkot,Faridkot
12,RAVINDER PAL KAUR,Independent,24,27,30,18,25,30,22,37,35,22,23,16,19,4,Punjab-Faridkot,Faridkot
13,NOTA,None of the Above,47,40,61,62,46,53,41,100,76,39,58,45,49,10,Punjab-Faridkot,Faridkot
