O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Kuljit Singh Nagra,Indian National Congress,1669,1904,1616,1871,1867,1529,2027,1492,1801,1404,1551,1671,1727,1834,1449,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
2,Jagdeep Singh Cheema,Shiromani Akali Dal,1082,922,667,440,508,490,1049,863,916,469,711,424,995,923,407,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
3,Didar Singh Bhatti,Bharatiya Janata Party,941,760,900,2037,2134,973,522,823,917,827,677,817,623,587,590,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
4,Lakhbir Singh Rai,Aam Aadmi Party,3811,3346,3930,4557,5100,3882,3510,3409,3845,4683,3849,4039,3906,2850,2646,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
5,Er. Amritbir Singh Bhalmajra,Punjab Kisan Dal,36,19,22,20,39,21,66,17,18,33,28,22,19,20,29,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
6,Emaan Singh Mann,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),856,793,1480,442,381,641,764,1083,862,457,891,1002,544,1072,1003,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
7,Sarbjeet Singh (Makhan),Sanyukt Sangharsh Party,189,653,90,38,54,112,72,77,115,88,142,83,120,191,130,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
8,Sukhvir Singh,Samajik Sangharsh Party,26,22,14,13,14,30,23,24,23,50,19,35,31,35,88,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
9,Gurwinder Singh,Lok Insaaf Party,14,17,19,8,6,12,15,20,13,14,16,14,16,8,18,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
10,Bahal Singh,Aazad Samaj Party (Kanshi Ram),24,29,18,23,17,28,44,28,40,43,28,28,32,29,43,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
11,Nawab Ali,Independent,17,18,12,17,28,33,26,17,16,8,16,17,13,6,13,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
12,Balwant Singh,Independent,11,22,11,15,6,12,27,8,12,14,12,13,18,9,11,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
13,NOTA,None of the Above,60,44,39,60,55,50,76,34,45,52,44,51,58,43,45,Punjab-Fatehgarh Sahib,Fatehgarh Sahib
