O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,SURJIT KUMAR JYANI,Bharatiya Janata Party,637,501,555,1271,819,679,1575,2458,2870,3380,3087,4200,1740,1473,2295,2510,2731,2104,Punjab-Fazilka,Fazilka
2,HANS RAJ JOSAN,Shiromani Akali Dal,694,682,523,792,1162,1040,783,658,537,544,410,699,787,599,1116,1015,1151,367,Punjab-Fazilka,Fazilka
3,DAVINDER SINGH GHUBAYA,Indian National Congress,2103,2152,1842,1155,2218,1912,950,1267,1020,905,1048,1358,2121,1744,1789,1658,1993,1652,Punjab-Fazilka,Fazilka
4,NARINDER PAL SINGH SAWNA,Aam Aadmi Party,3702,4553,3865,5264,4342,3857,3296,3123,3843,3536,2596,2894,3549,3395,2995,2825,3249,1553,Punjab-Fazilka,Fazilka
5,SANDEEP KUMAR,Republican Party of India (A),11,17,14,19,24,11,19,16,18,13,17,18,13,42,18,14,12,11,Punjab-Fazilka,Fazilka
6,HARKIRAN JEET SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),10,32,4,23,129,30,45,13,22,19,9,13,36,38,73,19,49,19,Punjab-Fazilka,Fazilka
7,SONIA,Independent,7,3,3,6,2,4,2,7,5,2,7,3,10,7,9,6,3,4,Punjab-Fazilka,Fazilka
8,HARNEK SINGH,Independent,2,5,1,7,2,5,2,6,5,4,2,7,4,10,7,4,8,2,Punjab-Fazilka,Fazilka
9,KASHMIR SINGH,Independent,12,9,4,6,7,7,12,6,6,4,6,4,5,7,17,6,7,7,Punjab-Fazilka,Fazilka
10,GURJINDER SINGH,Independent,4,7,6,13,5,8,8,8,5,3,3,10,4,9,8,10,15,1,Punjab-Fazilka,Fazilka
11,NAGINDER SINGH,Independent,40,44,34,30,32,28,43,36,21,18,19,33,57,88,46,37,22,16,Punjab-Fazilka,Fazilka
12,NARINDER SINGH,Independent,22,15,14,23,28,23,17,23,10,9,7,12,24,23,20,17,26,8,Punjab-Fazilka,Fazilka
13,RESHAM LAL,Independent,14,23,13,22,32,16,23,26,34,55,19,36,31,23,60,11,30,16,Punjab-Fazilka,Fazilka
14,VIRU SINGH,Independent,16,7,5,14,13,14,15,7,7,5,6,21,23,15,19,18,16,9,Punjab-Fazilka,Fazilka
15,NOTA,None of the Above,33,25,21,37,27,21,45,56,71,51,51,76,41,42,56,53,50,33,Punjab-Fazilka,Fazilka
