O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,GURMIT SINGH SODHI,Bharatiya Janata Party,1697,1109,1758,2703,2069,1807,1772,2845,1865,1876,1580,962,951,845,606,31,Punjab-Firozpur City,Firozpur City
2,PARMINDER SINGH PINKI,Indian National Congress,2150,2620,2459,1070,1458,2346,1343,1171,2235,1303,1406,2448,2443,1730,2436,167,Punjab-Firozpur City,Firozpur City
3,RANBIR SINGH,Aam Aadmi Party,3231,3400,2602,2778,2130,2875,3934,3526,3116,3557,3647,3440,3542,3302,2592,325,Punjab-Firozpur City,Firozpur City
4,ROHIT VOHRA,Shiromani Akali Dal,1134,1565,1586,725,522,1479,1118,740,1067,956,672,1441,1268,1486,1769,168,Punjab-Firozpur City,Firozpur City
5,SUNIL KUMAR,Insaniyat Lok Vikas Party,13,12,10,4,2,19,15,9,13,8,7,13,9,8,12,0,Punjab-Firozpur City,Firozpur City
6,TEJINDER SINGH DEOL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),57,200,150,30,23,90,172,66,49,63,63,177,235,352,267,23,Punjab-Firozpur City,Firozpur City
7,BIMLA RANI,Janta Brigade Party,16,15,16,9,3,17,20,12,9,2,13,11,15,13,11,0,Punjab-Firozpur City,Firozpur City
8,RAHMA,Nationalist Justice Party,11,11,9,3,4,11,5,0,8,0,4,3,8,6,8,1,Punjab-Firozpur City,Firozpur City
9,SATPAL SINGH,Independent,6,15,3,2,5,9,4,4,3,5,1,9,3,6,8,1,Punjab-Firozpur City,Firozpur City
10,HARI CHAND GUPTA,Independent,8,16,8,19,5,6,5,5,4,3,5,5,1,8,12,3,Punjab-Firozpur City,Firozpur City
11,JUGRAJ SINGH,Independent,19,15,11,5,4,5,9,8,8,2,2,13,10,13,12,3,Punjab-Firozpur City,Firozpur City
12,PARVINDER SINGH,Independent,15,13,6,6,6,13,7,5,13,0,4,8,11,18,15,1,Punjab-Firozpur City,Firozpur City
13,PUSHPINDER SINGH,Independent,66,35,22,12,8,27,27,7,11,9,10,29,31,28,29,8,Punjab-Firozpur City,Firozpur City
14,RAJ,Independent,66,68,29,12,11,30,30,13,19,14,18,43,57,44,35,5,Punjab-Firozpur City,Firozpur City
15,LAKHWINDER SINGH,Independent,57,59,56,6,13,39,35,12,29,18,17,71,56,34,37,10,Punjab-Firozpur City,Firozpur City
16,NOTA,None of the Above,36,32,30,31,18,36,36,35,30,30,31,27,22,39,15,1,Punjab-Firozpur City,Firozpur City
