O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,AMARPREET SINGH LALLY,Indian National Congress,2393,1963,1902,1653,2065,1929,1826,1823,1641,1811,1489,1571,1709,1456,1436,1054,327,Punjab-Garhshankar,Garhshankar
2,SURINDER SINGH HEER,Shiromani Akali Dal,1487,1374,1776,1757,1298,2289,1523,1837,1563,2152,1758,1535,1046,900,1399,1363,200,Punjab-Garhshankar,Garhshankar
3,JAI KRISHAN,Aam Aadmi Party,2007,2150,2007,1644,1926,1912,1529,1870,1930,1405,1883,2234,2357,2382,2444,1841,524,Punjab-Garhshankar,Garhshankar
4,NIMISHA MEHTA,Bharatiya Janata Party,803,1291,914,1386,1476,1842,1590,1525,2055,2481,1760,1654,1948,1935,1093,539,244,Punjab-Garhshankar,Garhshankar
5,MOHINDER KUMAR,Communist Party of India (Marxist),31,23,127,46,29,174,66,80,123,43,50,204,50,56,41,29,11,Punjab-Garhshankar,Garhshankar
6,IQBAL SINGH,Sada Haq Party,64,55,92,239,538,143,158,81,52,44,29,82,72,50,145,72,31,Punjab-Garhshankar,Garhshankar
7,DARSHAN SINGH,Vishal Party of India,11,6,11,14,14,8,14,8,8,8,8,11,4,13,15,21,3,Punjab-Garhshankar,Garhshankar
8,AVTAR SINGH,Independent,21,20,10,9,14,15,12,16,13,2,9,13,10,13,14,10,3,Punjab-Garhshankar,Garhshankar
9,GONNY KHABRA,Independent,15,15,12,12,8,12,12,19,15,12,11,24,15,12,9,4,3,Punjab-Garhshankar,Garhshankar
10,JASWANT SINGH,Independent,23,24,16,19,28,26,24,33,22,20,21,63,37,23,18,17,7,Punjab-Garhshankar,Garhshankar
11,JANG BAHADUR SINGH,Independent,220,122,303,280,268,289,264,220,368,74,66,256,313,222,265,382,179,Punjab-Garhshankar,Garhshankar
12,MOHAN SINGH,Independent,186,97,184,164,109,102,177,218,97,91,65,219,108,88,205,256,100,Punjab-Garhshankar,Garhshankar
13,NOTA,None of the Above,66,71,63,59,66,83,97,65,57,57,41,62,86,58,64,54,12,Punjab-Garhshankar,Garhshankar
