O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,GURLAL GHANAUR,Aam Aadmi Party,3173,4034,4160,4497,4566,4844,3865,4179,3703,4742,4569,3419,3811,4118,3644,1238,Punjab-Ghanaur,Ghanaur
2,PREM SINGH CHANDUMAJRA,Shiromani Akali Dal,1311,1419,1220,1171,1157,1277,1347,1896,1557,1693,1584,1751,1856,2369,2057,435,Punjab-Ghanaur,Ghanaur
3,MADAN LAL,Indian National Congress,2032,1549,1693,2253,2172,2328,2399,2012,1544,2052,1962,2690,1714,1797,2168,589,Punjab-Ghanaur,Ghanaur
4,VIKAS SHARMA,Bharatiya Janata Party,194,452,485,329,411,742,105,144,163,505,145,137,421,388,1029,49,Punjab-Ghanaur,Ghanaur
5,JAGDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),100,136,89,239,169,134,175,110,61,65,69,52,56,63,47,25,Punjab-Ghanaur,Ghanaur
6,AMRIK SINGH,Independent,10,15,16,20,21,18,17,9,4,11,10,14,12,21,11,2,Punjab-Ghanaur,Ghanaur
7,GURLAL SINGH,Independent,25,22,32,36,57,26,29,33,24,36,30,22,19,20,29,7,Punjab-Ghanaur,Ghanaur
8,JASPAL SINGH,Independent,42,48,48,64,37,60,51,35,29,47,38,43,31,40,65,10,Punjab-Ghanaur,Ghanaur
9,JAGNEET SINGH,Independent,36,47,40,60,85,60,64,70,37,48,62,59,51,43,47,12,Punjab-Ghanaur,Ghanaur
10,PREM SINGH BHANGU,Independent,45,98,121,56,87,68,58,122,108,247,103,83,133,119,216,15,Punjab-Ghanaur,Ghanaur
11,NOTA,None of the Above,50,77,85,94,93,97,86,105,73,116,99,69,80,65,89,27,Punjab-Ghanaur,Ghanaur
