O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,GURBACHAN SINGH BABEHALI,Shiromani Akali Dal,4014,2890,2345,3122,2583,2138,1812,1950,1614,2694,3007,2331,2171,1874,1429,Punjab-Gurdaspur,Gurdaspur
2,PARMINDER SINGH GILL,Bharatiya Janata Party,106,1257,298,117,712,1162,991,1029,1734,672,273,236,74,352,635,Punjab-Gurdaspur,Gurdaspur
3,BARINDERMEET SINGH PAHRA,Indian National Congress,2669,2360,3181,4127,3417,2614,2134,3072,2221,3591,2674,3070,2447,2922,2456,Punjab-Gurdaspur,Gurdaspur
4,RAMAN BAHL,Aam Aadmi Party,2084,2255,2056,1550,2125,2000,1832,2468,2116,1980,2019,1801,1262,1939,1478,Punjab-Gurdaspur,Gurdaspur
5,INDERPAL SINGH,Sanyukt Sangharsh Party,152,126,165,109,105,53,175,346,76,98,276,180,245,151,103,Punjab-Gurdaspur,Gurdaspur
6,SIMRANJIT SINGH MAAN,Punjab Kisan Dal,27,25,34,20,24,13,11,12,13,21,22,22,19,19,16,Punjab-Gurdaspur,Gurdaspur
7,SUNNY,Independent,16,5,9,7,6,5,1,5,0,13,18,5,6,7,6,Punjab-Gurdaspur,Gurdaspur
8,SUNNY GILL,Independent,17,22,14,18,28,20,11,15,15,8,28,21,5,13,13,Punjab-Gurdaspur,Gurdaspur
9,KARANDEEP SINGH,Independent,38,4,6,12,30,7,6,7,12,7,6,8,7,6,11,Punjab-Gurdaspur,Gurdaspur
10,GURPREET SINGH,Independent,6,9,12,11,13,3,1,8,2,13,17,9,5,11,13,Punjab-Gurdaspur,Gurdaspur
11,JAGDISH MASIH,Independent,15,11,27,16,13,6,3,4,5,12,17,11,7,17,8,Punjab-Gurdaspur,Gurdaspur
12,DEEPAK SHARMA,Independent,25,21,36,27,16,14,10,9,7,32,22,17,19,24,15,Punjab-Gurdaspur,Gurdaspur
13,PARMJEET SINGH,Independent,11,18,17,7,13,14,7,11,5,7,13,11,7,9,9,Punjab-Gurdaspur,Gurdaspur
14,NOTA,None of the Above,42,56,51,63,48,36,38,37,34,52,47,43,40,49,49,Punjab-Gurdaspur,Gurdaspur
