O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,SARVJIT KAUR MANUKE,Aam Aadmi Party,3466,3708,4913,4539,4214,4552,4324,4363,4732,4899,4179,4952,5839,5316,753,Punjab-Jagraon,Jagraon
2,S.R. KALER,Shiromani Akali Dal,1810,2177,1499,2088,1648,1175,1545,1514,1700,1625,2456,1875,1890,1978,448,Punjab-Jagraon,Jagraon
3,KANWAR NARINDER SINGH,Bharatiya Janata Party,254,77,107,114,86,728,691,825,1119,82,50,89,64,146,17,Punjab-Jagraon,Jagraon
4,JAGTAR SINGH JAGGA HISSOWAL,Indian National Congress,1556,1490,2192,1573,1564,1363,1895,1813,1722,1505,1058,923,895,1094,173,Punjab-Jagraon,Jagraon
5,SURINDER SINGH SAHOTA,Republican Party of India (A),26,27,41,28,21,22,23,22,24,28,21,33,28,23,11,Punjab-Jagraon,Jagraon
6,TEJINDER KAUR TEJI SANDHU,Lok Insaaf Party,19,24,34,57,93,23,19,17,16,13,56,22,63,15,3,Punjab-Jagraon,Jagraon
7,PARIVAR SINGH DALLA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),177,464,464,546,217,152,119,95,92,335,735,667,522,473,113,Punjab-Jagraon,Jagraon
8,KULDEEP SINGH DALLA,Independent,106,100,157,95,129,73,51,38,37,78,76,129,88,159,65,Punjab-Jagraon,Jagraon
9,GURDEEP SINGH DHALIWAL,Independent,57,42,37,52,105,33,20,25,18,26,29,42,30,39,4,Punjab-Jagraon,Jagraon
10,PARAMJIT SINGH SAHOTA,Independent,25,31,17,24,29,18,20,23,20,27,32,24,29,43,4,Punjab-Jagraon,Jagraon
11,NOTA,None of the Above,78,57,71,78,60,72,57,76,93,70,52,72,101,100,14,Punjab-Jagraon,Jagraon
