O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,AMOLAK SINGH,Aam Aadmi Party,5283,5211,4984,5603,4923,4994,5057,4531,5217,5562,6342,2083,Punjab-Jaitu,Jaitu
2,DARSHAN SINGH,Indian National Congress,2392,2776,1986,2014,1723,1685,1408,1040,1157,1217,1383,518,Punjab-Jaitu,Jaitu
3,MANJIT SINGH ALIAS SUBA SINGH,Shiromani Akali Dal,1728,1681,2572,3094,2352,2664,2973,2181,2135,2453,2751,736,Punjab-Jaitu,Jaitu
4,HARCHAND RAM,Bahujan Mukti Party,28,21,58,52,31,22,60,27,74,59,27,10,Punjab-Jaitu,Jaitu
5,GURDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),391,180,280,410,307,246,256,102,206,366,309,75,Punjab-Jaitu,Jaitu
6,PARAMJIT KAUR GULSHAN,Shiromani Akali Dal (Sanyukt),86,50,88,184,49,72,115,344,537,212,81,176,Punjab-Jaitu,Jaitu
7,PARMINDER KAUR,Independent,14,14,15,26,17,9,21,10,20,31,16,11,Punjab-Jaitu,Jaitu
8,BALJINDER SINGH,Independent,96,98,91,93,107,78,93,73,81,78,82,37,Punjab-Jaitu,Jaitu
9,BALDEV SINGH,Independent,46,22,36,42,29,20,37,35,21,32,24,13,Punjab-Jaitu,Jaitu
10,RAMANDEEP SINGH,Independent,53,76,134,173,167,89,66,58,96,133,74,17,Punjab-Jaitu,Jaitu
11,NOTA,None of the Above,81,64,99,86,79,94,84,62,67,79,66,28,Punjab-Jaitu,Jaitu
