O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,Avtar Singh Junior,Indian National Congress,3230,3057,3251,4895,3497,2908,2880,3629,2862,3666,3601,3266,3138,3247,Punjab-Jalandhar North,Jalandhar North
2,Kuldip Singh Lubana,Bahujan Samaj Party,316,714,326,636,125,219,177,369,231,1563,621,435,226,139,Punjab-Jalandhar North,Jalandhar North
3,Dinesh Dhall,Aam Aadmi Party,2242,2939,2080,1649,2121,2702,1624,2005,2115,2471,2790,2869,2635,2225,Punjab-Jalandhar North,Jalandhar North
4,K D Bhandari,Bharatiya Janata Party,2653,2160,2871,2541,3280,2390,3625,3251,2993,1711,1586,2664,2820,3089,Punjab-Jalandhar North,Jalandhar North
5,Gurpartap Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),75,146,159,98,85,130,98,161,102,184,110,137,95,25,Punjab-Jalandhar North,Jalandhar North
6,Baljinder Sodhi,Nationalist Justice Party,8,11,3,8,6,4,8,12,2,11,3,7,6,2,Punjab-Jalandhar North,Jalandhar North
7,Rajinder Kumar,Bahujan Mukti Party,11,11,20,63,12,14,2,10,38,15,24,14,14,3,Punjab-Jalandhar North,Jalandhar North
8,Deepak Kamboj,Independent,15,14,16,9,10,8,14,17,4,13,6,12,9,5,Punjab-Jalandhar North,Jalandhar North
9,Des Raj Jassal,Independent,146,194,83,31,25,12,8,8,19,36,31,13,19,15,Punjab-Jalandhar North,Jalandhar North
10,Rahul Bajaj,Independent,57,107,43,18,21,30,14,9,13,24,24,29,20,13,Punjab-Jalandhar North,Jalandhar North
11,NOTA,None of the Above,79,75,85,80,60,68,58,55,63,50,63,67,72,63,Punjab-Jalandhar North,Jalandhar North
