O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,ANIL MEENIA,Bahujan Samaj Party,527,255,416,437,95,276,237,226,254,244,621,311,176,10,Punjab-Jalandhar West,Jalandhar West
2,SHEETAL ANGURAL,Aam Aadmi Party,2354,1692,2868,2867,1753,3493,3536,3379,2767,3161,3504,3404,3908,315,Punjab-Jalandhar West,Jalandhar West
3,SUSHIL KUMAR RINKU,Indian National Congress,3179,2764,2978,3003,2187,2667,3096,2649,2867,2526,2248,2366,2074,114,Punjab-Jalandhar West,Jalandhar West
4,MOHINDER BHAGAT,Bharatiya Janata Party,2587,4561,2441,2139,3752,2327,1154,1912,2481,2519,1727,2565,2967,147,Punjab-Jalandhar West,Jalandhar West
5,JASBIR SINGH MANN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),75,84,84,85,66,122,39,82,62,93,562,205,133,5,Punjab-Jalandhar West,Jalandhar West
6,BALJINDER SODHI ADVOCATE,Nationalist Justice Party,9,3,10,15,9,10,5,8,5,3,14,6,7,1,Punjab-Jalandhar West,Jalandhar West
7,BALWINDER KUMAR,Aazad Samaj Party (Kanshi Ram),23,24,25,16,33,19,15,17,9,6,22,16,19,0,Punjab-Jalandhar West,Jalandhar West
8,AMRISH BHAGAT,Independent,10,12,23,16,21,12,10,11,3,5,5,19,12,2,Punjab-Jalandhar West,Jalandhar West
9,SUBHASH GORIA,Independent,14,26,35,212,21,27,147,13,9,8,16,18,28,2,Punjab-Jalandhar West,Jalandhar West
10,KARAM CHAND,Independent,16,24,13,14,11,25,19,19,9,11,50,32,26,3,Punjab-Jalandhar West,Jalandhar West
11,NEELAM,Independent,17,19,18,18,8,19,25,18,21,14,38,42,39,3,Punjab-Jalandhar West,Jalandhar West
12,VIPAN KUMAR,Independent,18,15,14,16,14,12,8,10,8,8,19,17,18,3,Punjab-Jalandhar West,Jalandhar West
13,NOTA,None of the Above,66,49,76,75,47,70,43,58,73,79,111,78,73,8,Punjab-Jalandhar West,Jalandhar West
