O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,GURKIRAT SINGH,Indian National Congress,1824,1524,1608,1445,1271,1298,1250,925,1509,1111,1480,1619,1848,1469,Punjab-Khanna,Khanna
2,GURPREET SINGH BHATTI,Bharatiya Janata Party,164,305,387,241,1281,2086,1017,1282,1663,1373,1559,900,266,51,Punjab-Khanna,Khanna
3,JASDEEP KAUR YADU,Shiromani Akali Dal,2296,2036,2729,1951,1797,944,1346,2123,1773,1282,1813,2627,2030,1888,Punjab-Khanna,Khanna
4,TARUNPREET SINGH SOND,Aam Aadmi Party,3846,4188,4821,4504,4738,4534,5532,4510,4600,3538,4610,3937,5266,3327,Punjab-Khanna,Khanna
5,SUKHMIT SINGH KHANNA,Punjab Kisan Dal,24,26,30,21,19,23,17,22,7,11,21,30,35,19,Punjab-Khanna,Khanna
6,KARNAIL SINGH IKOLAHA,Revolutionary Socialist Party,10,14,8,18,7,10,8,14,4,8,11,14,29,8,Punjab-Khanna,Khanna
7,PARMJEET SINGH RINKA,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),579,522,537,373,181,63,155,132,172,63,163,207,430,356,Punjab-Khanna,Khanna
8,SUKHWANT SINGH TILLU,Independent,123,53,63,77,28,31,40,31,45,30,40,41,94,32,Punjab-Khanna,Khanna
9,PARMJEET WALIA,Independent,18,18,26,22,12,16,15,16,7,18,20,19,24,15,Punjab-Khanna,Khanna
10,RAJ KUMAR,Independent,23,21,28,18,15,19,18,51,11,15,22,32,17,10,Punjab-Khanna,Khanna
11,NOTA,None of the Above,58,49,49,34,60,38,73,26,62,37,60,52,50,41,Punjab-Khanna,Khanna
