O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,Gobind Singh Longowal,Shiromani Akali Dal,730,523,401,669,798,1091,1029,724,603,976,1155,1570,1396,311,Punjab-Lehra,Lehra
2,Barinder Kumar Goyal Vakeel,Aam Aadmi Party,6172,5830,5313,5060,4897,5048,4592,4074,5081,3536,3018,2548,3340,1109,Punjab-Lehra,Lehra
3,Rajinder Kaur Bhattal,Indian National Congress,951,1183,1608,1500,1751,1588,1341,1137,1572,2308,1622,1774,1634,402,Punjab-Lehra,Lehra
4,SHER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),477,324,108,485,522,505,470,282,320,412,449,449,154,27,Punjab-Lehra,Lehra
5,Hardeep Singh,Revolutionary Socialist Party,52,26,16,70,48,37,54,30,40,32,51,183,43,8,Punjab-Lehra,Lehra
6,Parminder Singh Dhindsa,Shiromani Akali Dal (Sanyukt),1859,2215,2418,1921,2349,1898,2395,3069,3060,2658,2891,2538,3233,881,Punjab-Lehra,Lehra
7,Satwant Singh,Independent,120,340,48,88,84,65,191,62,100,118,83,111,113,17,Punjab-Lehra,Lehra
8,Jagdish Singh Atwal,Independent,69,46,17,40,55,54,42,51,70,30,25,104,39,8,Punjab-Lehra,Lehra
9,Parminder Singh,Independent,89,96,59,86,85,86,100,112,102,78,101,86,111,24,Punjab-Lehra,Lehra
10,Balwinder Singh,Independent,145,102,72,112,134,113,112,125,121,97,116,105,123,40,Punjab-Lehra,Lehra
11,NOTA,None of the Above,88,74,68,69,76,87,72,90,70,67,71,96,109,24,Punjab-Lehra,Lehra
