O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,SANJEEV TALWAR,Indian National Congress,2308,2069,2297,3204,2752,2339,2028,1447,1725,1297,1739,1386,1868,2079,1790,1596,771,Punjab-Ludhiana East,Ludhiana East
2,JAGMOHAN SHARMA,Bharatiya Janata Party,1084,1534,1072,541,623,962,1058,846,1631,1234,849,788,1722,1118,1418,1182,391,Punjab-Ludhiana East,Ludhiana East
3,DALJIT SINGH GREWAL (BHOLA),Aam Aadmi Party,2807,3604,4112,3966,3325,4752,5008,5205,5317,5604,4408,4167,3771,4480,3910,2754,1331,Punjab-Ludhiana East,Ludhiana East
4,RANJIT SINGH DHILLON,Shiromani Akali Dal,1685,1931,1479,1445,1048,881,1277,1199,969,1030,1075,775,914,1178,1139,1744,572,Punjab-Ludhiana East,Ludhiana East
5,SAT NARYAN SAH,Nationalist Justice Party,9,8,5,9,12,4,16,6,7,8,2,7,7,17,9,12,2,Punjab-Ludhiana East,Ludhiana East
6,SURESH SINGH,Samajwadi Party,13,18,7,5,17,10,6,9,11,6,11,7,6,13,4,15,15,Punjab-Ludhiana East,Ludhiana East
7,GURJODH SINGH GILL,Lok Insaaf Party,3,13,4,3,10,8,12,4,17,5,6,15,37,14,30,15,3,Punjab-Ludhiana East,Ludhiana East
8,JASWANT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),65,95,95,135,149,189,200,105,126,95,93,109,45,111,78,62,42,Punjab-Ludhiana East,Ludhiana East
9,JATINDER SINGH,Peoples Party of India (Democratic),12,7,12,19,10,15,11,1,10,7,15,6,11,7,8,11,3,Punjab-Ludhiana East,Ludhiana East
10,NARINDER PAL SIDHU,Aam Lok Party United,12,10,7,8,10,6,6,7,10,15,8,5,11,11,5,11,2,Punjab-Ludhiana East,Ludhiana East
11,PARDEEP SINGH DHAWAN,Insaniyat Lok Vikas Party,8,3,2,11,2,7,2,5,5,4,8,9,6,5,8,15,4,Punjab-Ludhiana East,Ludhiana East
12,DAVINDER SINGH BILLA,Independent,18,14,15,61,25,17,14,14,15,16,13,9,24,23,12,29,10,Punjab-Ludhiana East,Ludhiana East
13,RAMAN KUMAR (JAGDAMBA),Independent,17,69,22,17,9,26,14,25,21,17,18,9,40,35,16,20,4,Punjab-Ludhiana East,Ludhiana East
14,RAJINDER SINGH,Independent,12,17,14,21,14,11,15,17,14,16,18,13,27,26,89,27,7,Punjab-Ludhiana East,Ludhiana East
15,NOTA,None of the Above,54,37,36,53,57,43,48,25,59,45,42,49,72,53,52,63,16,Punjab-Ludhiana East,Ludhiana East
