O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,R.D. SHARMA,Shiromani Akali Dal,1006,1003,1060,1684,427,478,421,408,593,420,601,1144,896,642,642,Punjab-Ludhiana North,Ludhiana North
2,PARVEEN BANSAL,Bharatiya Janata Party,1433,1905,1821,1327,3402,3321,3309,3309,2672,3639,1896,1987,2224,2704,802,Punjab-Ludhiana North,Ludhiana North
3,MADAN LAL BAGGA,Aam Aadmi Party,3140,3829,3234,4157,3954,3279,3839,4109,3471,2877,2963,3573,3501,3264,1793,Punjab-Ludhiana North,Ludhiana North
4,RAKESH PANDEY,Indian National Congress,2291,1527,1536,1610,1628,1302,1380,1299,1353,1230,1217,1664,2456,2239,1542,Punjab-Ludhiana North,Ludhiana North
5,ANIL KUMAR GOYAL,Insaniyat Lok Vikas Party,7,13,13,11,7,5,9,5,10,5,7,10,12,12,12,Punjab-Ludhiana North,Ludhiana North
6,AVTAR SINGH,Peoples Party of India (Democratic),55,15,19,21,23,9,19,17,13,10,19,12,22,17,14,Punjab-Ludhiana North,Ludhiana North
7,PROMILA RALHAN BANI,Bahujan Mukti Party,21,16,21,19,25,13,34,30,9,20,6,20,12,9,7,Punjab-Ludhiana North,Ludhiana North
8,MANJU,Samajwadi Party,19,18,21,24,20,7,6,3,5,2,13,6,5,9,6,Punjab-Ludhiana North,Ludhiana North
9,RANDHIR SINGH SIVIA,Lok Insaaf Party,313,43,154,59,42,38,33,30,54,39,25,33,52,45,20,Punjab-Ludhiana North,Ludhiana North
10,RAMANJIT BADHAN LALLY,Independent,50,27,25,47,21,19,14,11,18,12,6,25,60,38,73,Punjab-Ludhiana North,Ludhiana North
11,NOTA,None of the Above,51,77,65,73,81,65,62,70,68,49,68,37,60,52,34,Punjab-Ludhiana North,Ludhiana North
