O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Sukhjinder Raj Singh (Lalli),Aam Aadmi Party,2137,1974,1355,1838,2552,1970,2040,2057,2021,2063,1930,1785,2268,2375,2318,Punjab-Majitha,Majitha
2,Ganieve Kaur Majithia,Shiromani Akali Dal,3477,3824,4245,4397,3986,3691,4052,3518,4411,3328,3878,3383,3454,3905,3290,Punjab-Majitha,Majitha
3,Jagwinder Pal Singh (Jagga Majithia),Indian National Congress,1701,2017,2487,2194,1199,1212,2591,1992,1563,1409,1803,1672,1701,1217,1158,Punjab-Majitha,Majitha
4,Pardeep Singh,Bharatiya Janata Party,79,117,305,115,129,112,140,92,99,108,81,58,67,83,40,Punjab-Majitha,Majitha
5,Kulwant Singh Kotla Gujran,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),242,379,195,130,195,199,145,216,178,214,325,245,371,216,285,Punjab-Majitha,Majitha
6,Inderjit Singh,Independent,13,28,20,14,16,12,26,36,18,19,19,15,28,31,15,Punjab-Majitha,Majitha
7,Jasmeet Singh Randhawa,Independent,30,38,28,13,22,19,36,46,34,24,22,24,21,32,23,Punjab-Majitha,Majitha
8,Paramjit Singh Jajeani,Independent,42,53,77,98,60,71,73,50,71,54,57,34,37,48,50,Punjab-Majitha,Majitha
9,Maninder Singh,Independent,42,36,22,37,49,28,44,31,27,27,41,30,44,34,35,Punjab-Majitha,Majitha
10,NOTA,None of the Above,49,46,53,41,67,39,85,49,52,48,45,32,75,56,73,Punjab-Majitha,Majitha
