O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,SUKHVEER SINGH MAISERKHANA,Aam Aadmi Party,3864,3948,5568,3993,4275,4903,4415,4619,4328,4510,4777,3613,4965,4769,Punjab-Maur,Maur
2,JAGMEET SINGH BRAR,Shiromani Akali Dal,2029,1321,1137,1371,1785,1432,1726,1357,2126,2222,1850,1364,1606,1870,Punjab-Maur,Maur
3,DAYAL SODHI,Bharatiya Janata Party,162,80,325,155,156,138,124,93,105,190,329,759,471,286,Punjab-Maur,Maur
4,DR. MANOJ BALA BANSAL,Indian National Congress,1248,1092,813,768,1347,912,932,704,1108,1072,1189,1761,1346,598,Punjab-Maur,Maur
5,COMRADE PRITPAL SINGH,Communist Party of India (Marxist-Leninist) (Liberation),19,16,167,37,94,30,16,26,26,16,41,17,25,25,Punjab-Maur,Maur
6,HARDEV SINGH BAGGAR MAUR MANDI,Independent,9,8,10,11,9,4,11,13,11,23,9,5,14,11,Punjab-Maur,Maur
7,DARSHAN SINGH BAJIGAR,Independent,16,38,24,28,10,26,17,111,17,85,12,15,15,15,Punjab-Maur,Maur
8,PARGAT SINGH,Independent,26,25,16,31,22,22,23,17,12,31,24,12,31,18,Punjab-Maur,Maur
9,MANGAL RAM,Independent,20,20,35,23,15,20,19,10,9,17,18,9,34,24,Punjab-Maur,Maur
10,LAKHA SINGH SIDHANA,Independent,2360,2015,1715,2624,2438,2169,2010,1982,1689,2214,1928,1157,1837,1798,Punjab-Maur,Maur
11,NOTA,None of the Above,82,87,136,98,85,108,102,86,83,102,99,79,103,93,Punjab-Maur,Maur
