O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,DR. AMANDEEP KAUR ARORA,Aam Aadmi Party,3248,3540,4471,4525,4816,4450,3819,3761,4655,3939,3590,2772,3443,3257,3713,814,Punjab-Moga,Moga
2,DR. HARJOT KAMAL,Bharatiya Janata Party,300,305,284,639,704,231,740,737,471,747,726,1501,1231,1004,852,86,Punjab-Moga,Moga
3,BARJINDER SINGH MAKHAN BRAR,Shiromani Akali Dal,2757,2018,1784,2081,1629,2212,1635,1127,1841,1702,2140,990,1633,2026,2116,522,Punjab-Moga,Moga
4,MALVIKA SOOD,Indian National Congress,2048,2442,2525,2038,1838,2143,2745,2000,1876,2917,2707,3108,3237,3640,2486,375,Punjab-Moga,Moga
5,CHANAN SINGH WATTU,Bahujan Mukti Party,11,20,23,29,12,18,23,7,10,24,22,11,15,21,23,2,Punjab-Moga,Moga
6,BALKARAN MOGA,Communist Party of India (Marxist-Leninist) (Liberation),13,25,14,24,15,25,6,6,22,7,22,10,10,14,15,3,Punjab-Moga,Moga
7,MANJEET SINGH MALLAH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),304,380,306,553,248,366,206,158,301,95,147,108,118,137,317,50,Punjab-Moga,Moga
8,GURCHARAN SINGH,Independent,15,18,17,32,12,31,12,3,4,11,22,7,9,16,8,6,Punjab-Moga,Moga
9,GURPREET SINGH ARORA,Independent,19,18,21,24,21,19,27,8,14,26,39,11,11,31,13,4,Punjab-Moga,Moga
10,NAVDEEP SANGHA,Independent,173,314,105,180,88,122,160,149,135,63,99,31,72,64,90,33,Punjab-Moga,Moga
11,LAVINDER GILL,Independent,12,17,24,40,26,15,9,4,11,14,28,25,7,15,13,3,Punjab-Moga,Moga
12,NOTA,None of the Above,39,50,58,91,82,83,72,48,51,47,78,38,42,67,57,13,Punjab-Moga,Moga
