O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,KARAN KAUR,Indian National Congress,881,1077,1304,972,1381,1984,1187,1225,582,669,575,626,472,574,504,157,Punjab-Muktsar,Muktsar
2,KANWARJIT SINGH,Shiromani Akali Dal,3832,3622,3141,3943,2984,2898,3433,3948,2277,2092,1448,2031,1576,1841,1813,884,Punjab-Muktsar,Muktsar
3,JAGDEEP SINGH 'KAKA BRAR',Aam Aadmi Party,5017,3986,3924,4219,4060,5029,5108,5403,5843,5305,5381,4839,5193,5594,5043,1229,Punjab-Muktsar,Muktsar
4,RAJESH PATHELA,Bharatiya Janata Party,328,141,324,420,159,372,259,354,794,1394,1996,808,909,1260,930,51,Punjab-Muktsar,Muktsar
5,SUKHRAJ SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),165,151,122,240,75,137,124,159,104,161,66,73,124,122,107,24,Punjab-Muktsar,Muktsar
6,DHARAMJEET SINGH 'BONNY BEDI',Lok Insaaf Party,8,5,5,10,14,15,10,35,23,33,23,32,29,26,31,4,Punjab-Muktsar,Muktsar
7,BALWANT SINGH,Nationalist Justice Party,5,3,4,11,8,15,9,7,19,7,4,5,2,10,6,3,Punjab-Muktsar,Muktsar
8,ANUROOP KAUR SANDHU,Independent,67,54,55,75,67,74,88,85,52,39,18,38,63,41,59,34,Punjab-Muktsar,Muktsar
9,ALWINDER SINGH,Independent,49,26,41,29,30,29,29,33,44,26,24,25,36,53,17,4,Punjab-Muktsar,Muktsar
10,SANDEEP KUMAR,Independent,7,5,13,9,5,9,12,10,14,12,11,14,15,18,12,4,Punjab-Muktsar,Muktsar
11,KALA SINGH,Independent,25,10,24,11,9,11,17,48,14,21,22,6,6,16,9,7,Punjab-Muktsar,Muktsar
12,KRISHAN KUMAR ALIAS KRISHAN SINGH,Independent,34,23,44,32,35,43,46,49,49,47,34,17,22,41,23,12,Punjab-Muktsar,Muktsar
13,RAJ KUMAR,Independent,27,24,34,27,29,20,28,32,25,44,23,19,14,25,19,7,Punjab-Muktsar,Muktsar
14,NOTA,None of the Above,53,51,47,50,38,54,54,64,75,76,39,37,59,56,47,11,Punjab-Muktsar,Muktsar
