O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,SADHU SINGH,Indian National Congress,684,969,1115,1115,934,1141,1101,1281,1044,1133,912,1224,1078,1611,1303,1208,365,Punjab-Nabha,Nabha
2,KASHMIR SINGH,Communist Party of India,54,49,56,55,48,48,116,73,57,60,45,45,45,39,53,47,1,Punjab-Nabha,Nabha
3,KABIR DASS,Shiromani Akali Dal,1855,2084,1373,2147,1375,1129,2191,1826,2354,2104,1488,1455,1971,1787,1723,2149,328,Punjab-Nabha,Nabha
4,GURDEV SINGH DEV MAAN,Aam Aadmi Party,4647,4924,5454,5252,5067,4499,4822,4687,6339,6488,5417,4526,5204,4761,4109,4960,554,Punjab-Nabha,Nabha
5,GURPREET SINGH SHAHPUR,Bharatiya Janata Party,135,102,196,263,134,75,75,69,143,201,488,1148,1106,791,1335,124,12,Punjab-Nabha,Nabha
6,SIMRANJEET SINGH,Samajwadi Party,16,36,27,25,31,26,31,27,25,29,19,17,16,21,17,25,4,Punjab-Nabha,Nabha
7,BARINDER KUMAR,Sanyukt Sangharsh Party,327,179,277,334,508,241,195,171,257,117,77,39,41,36,36,155,14,Punjab-Nabha,Nabha
8,GULZAR KHANNA,Independent,22,23,37,38,45,26,43,25,25,43,21,16,22,24,20,41,3,Punjab-Nabha,Nabha
9,BALWANT SINGH,Independent,27,18,27,28,29,31,20,22,26,41,23,12,27,55,7,21,1,Punjab-Nabha,Nabha
10,NOTA,None of the Above,82,66,105,68,94,78,85,99,76,104,84,79,102,112,86,73,21,Punjab-Nabha,Nabha
