O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,SATVIR SINGH PALLI JHIKKI,Indian National Congress,1053,677,575,403,308,278,281,327,275,293,256,324,272,611,696,288,35,Punjab-Nawan Shahr,Nawan Shahr
2,DR. NACHHATAR PAL,Bahujan Samaj Party,1892,2825,2969,1525,1173,2857,2436,2720,3425,2449,2126,2459,2975,1955,1701,711,497,Punjab-Nawan Shahr,Nawan Shahr
3,POONAM MANIK,Bharatiya Janata Party,73,98,142,522,628,418,119,139,294,198,272,53,63,62,56,35,8,Punjab-Nawan Shahr,Nawan Shahr
4,LALIT MOHAN BALLU,Aam Aadmi Party,1852,2304,1998,3185,3758,2257,1683,1999,1890,1618,2022,1206,1041,1584,1442,1414,107,Punjab-Nawan Shahr,Nawan Shahr
5,SURINDER SINGH,Nationalist Justice Party,55,80,48,49,49,79,84,97,91,57,90,54,59,83,81,14,5,Punjab-Nawan Shahr,Nawan Shahr
6,DAVINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),303,353,352,134,71,137,244,469,338,489,374,398,283,407,334,335,13,Punjab-Nawan Shahr,Nawan Shahr
7,PARAMJIT SINGH,Jai Jawan Jai Kisan Party,25,33,38,30,37,31,31,35,45,26,30,18,29,25,42,28,1,Punjab-Nawan Shahr,Nawan Shahr
8,ANGAD SINGH,Independent,1477,1852,1465,2024,2123,2028,2127,2526,2807,2542,2340,1782,2255,1697,1634,532,131,Punjab-Nawan Shahr,Nawan Shahr
9,SUNNY SINGH JAFFARPUR,Independent,28,32,29,23,20,27,41,26,49,36,32,29,22,30,36,11,1,Punjab-Nawan Shahr,Nawan Shahr
10,KULDIP SINGH BAZIDPUR,Independent,744,280,381,150,97,133,546,269,323,349,157,328,247,554,910,191,25,Punjab-Nawan Shahr,Nawan Shahr
11,NOTA,None of the Above,42,52,36,43,43,42,40,46,43,46,28,32,36,33,30,42,5,Punjab-Nawan Shahr,Nawan Shahr
