O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,state_city,constituency_from_link
1,Jaspal Singh Bitu Chatha,Shiromani Akali Dal,1362,1320,1574,1055,1749,1033,570,757,953,817,1379,1213,1757,1379,438,744,761,666,299,Punjab-Patiala Rural,Patiala Rural
2,Dr.Balbir Singh,Aam Aadmi Party,4676,3467,4641,5087,3980,4746,4581,4073,4687,4804,3421,3898,3138,3897,3574,3710,3969,4205,1779,Punjab-Patiala Rural,Patiala Rural
3,Mohit Mohindra,Indian National Congress,1449,1632,1358,1500,1288,1419,1494,1204,1090,1247,1226,1167,1199,1358,1153,1113,976,1283,398,Punjab-Patiala Rural,Patiala Rural
4,Sanjeev Sharma Bittu,Punjab Lok Congress Party,142,66,147,186,149,382,585,741,652,1184,557,688,552,931,843,1020,1402,1089,462,Punjab-Patiala Rural,Patiala Rural
5,Harpreet Kaur,Samajik Sangharsh Party,26,19,24,23,21,21,17,16,20,15,17,18,17,15,12,15,10,8,4,Punjab-Patiala Rural,Patiala Rural
6,Jasdev Singh Urf Jasleen Patiala,Insaniyat Lok Vikas Party,11,3,10,12,6,6,8,6,9,7,3,5,5,11,7,4,7,4,2,Punjab-Patiala Rural,Patiala Rural
7,Tejwinderpal Singh Saini,Peoples Party of India (Democratic),13,16,19,27,16,27,26,18,14,14,9,14,26,14,13,12,18,11,7,Punjab-Patiala Rural,Patiala Rural
8,Prof. Mohinder Pal Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),357,265,348,458,452,231,229,242,304,340,406,321,265,183,180,233,169,277,112,Punjab-Patiala Rural,Patiala Rural
9,Abhishek Singh,Independent,13,6,20,12,9,13,18,12,4,9,7,8,5,12,25,10,11,9,4,Punjab-Patiala Rural,Patiala Rural
10,Shweta Jindal,Independent,9,6,8,4,7,7,14,4,3,7,6,4,8,6,3,5,6,4,4,Punjab-Patiala Rural,Patiala Rural
11,Saurabh Jain,Independent,84,100,351,202,48,129,289,69,84,203,261,73,89,183,220,316,170,129,74,Punjab-Patiala Rural,Patiala Rural
12,Krishan Kumar,Independent,10,11,16,11,7,10,9,3,6,5,5,6,8,4,5,2,2,1,0,Punjab-Patiala Rural,Patiala Rural
13,Jasdeep Singh Nikku,Independent,265,126,345,83,44,56,95,58,40,57,15,27,13,19,8,6,42,29,6,Punjab-Patiala Rural,Patiala Rural
14,Jashandeep Singh Joshi,Independent,54,48,44,55,41,47,35,55,29,12,20,15,48,17,17,9,18,28,10,Punjab-Patiala Rural,Patiala Rural
15,Dalbir Singh,Independent,73,34,61,85,64,70,38,44,22,21,28,12,89,55,109,14,25,23,15,Punjab-Patiala Rural,Patiala Rural
16,Dhraminder Singh,Independent,68,64,79,48,60,55,94,57,43,49,49,94,41,44,24,19,37,99,40,Punjab-Patiala Rural,Patiala Rural
17,Paramjit Singh Bhullar,Independent,29,17,28,16,24,21,7,9,10,9,18,7,27,16,8,7,8,31,13,Punjab-Patiala Rural,Patiala Rural
18,Baljeet Singh,Independent,36,32,46,47,39,58,23,23,23,22,40,18,45,23,14,16,17,33,13,Punjab-Patiala Rural,Patiala Rural
19,Rajiv Kumar Babbar,Independent,18,24,18,14,26,26,31,13,9,11,12,8,19,12,12,10,13,13,5,Punjab-Patiala Rural,Patiala Rural
20,NOTA,None of the Above,22,18,19,18,17,42,42,52,42,66,43,55,31,33,46,45,63,74,27,Punjab-Patiala Rural,Patiala Rural
