O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,Ajit Pal Singh Kohli,Aam Aadmi Party,4939,3940,3814,3779,3330,3344,3487,3419,3090,3503,3207,3468,4384,Punjab-Patiala,Patiala
2,Harpal Juneja,Shiromani Akali Dal,807,501,774,758,692,1372,1279,1464,1270,740,648,690,730,Punjab-Patiala,Patiala
3,Vishnu Sharma,Indian National Congress,892,817,650,746,539,656,938,764,885,706,731,616,855,Punjab-Patiala,Patiala
4,Amarinder Singh,Punjab Lok Congress Party,1364,1651,1911,2308,2976,3136,2413,1768,2578,2763,2301,1402,1436,Punjab-Patiala,Patiala
5,Naunihal Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),158,165,210,251,87,68,162,186,234,173,148,218,112,Punjab-Patiala,Patiala
6,Paramjit Singh,Lok Insaaf Party,7,6,7,7,8,5,9,3,9,4,6,3,5,Punjab-Patiala,Patiala
7,Yogesh Kumar,Jan Asra Party,4,7,6,6,14,9,5,4,10,6,14,3,6,Punjab-Patiala,Patiala
8,Sonu,Independent,11,6,4,13,18,5,14,6,9,8,4,5,1,Punjab-Patiala,Patiala
9,Gurmukh Singh,Independent,9,5,5,6,17,16,3,2,5,4,3,5,8,Punjab-Patiala,Patiala
10,Jasbir Singh,Independent,16,3,9,10,12,9,8,2,4,5,5,7,9,Punjab-Patiala,Patiala
11,Jagdish Kumar,Independent,53,20,29,60,96,48,46,26,36,24,27,67,39,Punjab-Patiala,Patiala
12,Jyoti Tiwari,Independent,9,5,1,38,22,9,16,8,6,7,5,6,8,Punjab-Patiala,Patiala
13,Davinder Singh,Independent,13,3,8,29,33,19,28,9,6,14,7,11,13,Punjab-Patiala,Patiala
14,Pankaj Mohindru,Independent,42,24,15,9,11,10,15,11,8,3,6,5,29,Punjab-Patiala,Patiala
15,Makhan Singh,Independent,36,22,40,14,12,12,40,22,20,6,6,10,37,Punjab-Patiala,Patiala
16,Malwinder Singh,Independent,48,14,13,40,53,37,44,21,9,8,11,24,30,Punjab-Patiala,Patiala
17,Ravinder Singh,Independent,29,14,23,21,25,26,42,12,20,28,19,12,16,Punjab-Patiala,Patiala
18,NOTA,None of the Above,56,53,82,46,39,67,66,63,68,54,56,41,50,Punjab-Patiala,Patiala
