O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,Adaish Partap Singh Kairon,Shiromani Akali Dal,2876,2777,3057,2689,2526,2355,2109,2745,2803,2768,3581,2837,3094,3286,3154,3340,176,Punjab-Patti,Patti
2,Harminder Singh Gill,Indian National Congress,2377,2016,2369,1905,1519,1234,1433,2045,1391,2608,2430,2178,2697,2523,2288,1751,165,Punjab-Patti,Patti
3,Laljit Singh Bhullar,Aam Aadmi Party,3294,2978,2935,4269,3737,4605,3827,3925,3328,3678,3417,3411,3381,3991,3070,2857,94,Punjab-Patti,Patti
4,Satnam Singh,Lok Insaaf Party,27,12,16,16,28,28,25,20,12,23,30,25,26,22,12,17,0,Punjab-Patti,Patti
5,Jaskaran Toot Gill,Punjab Lok Congress Party,9,11,17,42,39,38,39,18,40,14,14,51,37,12,8,56,0,Punjab-Patti,Patti
6,Dilbag Singh Sheron,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),320,416,255,330,149,86,141,216,332,218,235,198,336,266,308,217,6,Punjab-Patti,Patti
7,Manjit Singh Sekhon,Democratic Bharatiya Samaj Party,10,17,13,12,15,12,8,10,15,14,9,12,18,12,10,14,0,Punjab-Patti,Patti
8,Amandeep Singh Ghuman,Independent,9,11,1,9,11,11,8,8,8,8,14,12,14,15,7,5,0,Punjab-Patti,Patti
9,Sartaj Singh Sandhu,Independent,30,34,25,50,18,11,11,30,36,19,41,42,18,22,20,8,0,Punjab-Patti,Patti
10,Dr.Sukhwant Singh Virdi,Independent,12,17,12,13,21,9,11,18,13,22,11,14,15,25,13,10,0,Punjab-Patti,Patti
11,Harjinder Singh,Independent,43,40,35,42,57,31,23,46,32,46,35,48,47,59,32,36,0,Punjab-Patti,Patti
12,Advocate Ravinder Singh Vohra,Independent,46,51,41,33,40,30,29,37,41,48,52,37,39,56,38,38,2,Punjab-Patti,Patti
13,NOTA,None of the Above,70,75,56,67,99,59,49,55,91,70,65,78,49,95,47,50,2,Punjab-Patti,Patti
