O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,DOCTOR JASPREET SINGH BIJA,Bahujan Samaj Party,1120,671,1063,1209,1723,1948,1134,1421,1878,1665,1393,1401,1274,1448,1167,Punjab-Payal,Payal
2,BHAGWAN SINGH SOMAL KHERI,Communist Party of India,43,41,57,39,41,33,55,60,88,159,88,54,46,24,35,Punjab-Payal,Payal
3,MANWINDER SINGH GIASPURA,Aam Aadmi Party,4390,4762,4257,4468,3751,3549,4203,4145,5052,5022,4660,4400,3964,3703,2885,Punjab-Payal,Payal
4,LAKHVIR SINGH,Indian National Congress,2219,2288,2225,1933,2279,2154,1967,2344,1951,2399,1751,1535,1806,1902,1726,Punjab-Payal,Payal
5,HARSHIT KUMAR SHEETAL,Shiromani Akali Dal (Sanyukt),81,182,19,32,33,28,17,53,31,100,20,6,20,28,18,Punjab-Payal,Payal
6,GURPREET SINGH,Bahujan Mukti Party,9,12,9,7,10,10,13,9,9,39,15,9,20,10,7,Punjab-Payal,Payal
7,JAGDEEP SINGH (R/o VILLAGE SIRTHLA),Rashtriya Janhit Sangharsh Party,6,5,12,10,8,6,6,6,11,7,4,5,49,3,9,Punjab-Payal,Payal
8,JAGDEEP SINGH (R/o VILLAGE MAJRI),Lok Insaaf Party,11,12,20,14,76,46,21,5,30,11,7,24,11,7,7,Punjab-Payal,Payal
9,RANJIT SINGH KAKA,Punjab Kisan Dal,15,59,15,8,11,3,12,9,9,10,5,10,13,7,9,Punjab-Payal,Payal
10,RAJDEEP KAUR,Jai Jawan Jai Kisan Party,2,5,8,8,5,7,4,5,8,17,29,6,5,5,3,Punjab-Payal,Payal
11,RAMPAL SINGH DAULATPUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),341,149,478,346,351,396,420,339,406,259,594,596,446,321,240,Punjab-Payal,Payal
12,LAKHVIR SINGH LAKHA,Peoples Party of India (Democratic),19,24,34,19,17,18,22,23,66,35,25,15,23,8,11,Punjab-Payal,Payal
13,SIMARDEEP SINGH DOBURJI,Independent,96,40,240,128,35,42,50,49,66,45,37,58,45,143,33,Punjab-Payal,Payal
14,HARCHAND SINGH,Independent,30,29,34,44,22,40,33,45,52,39,39,36,37,28,20,Punjab-Payal,Payal
15,GURDEEP SINGH KALI,Independent,21,36,25,20,55,41,19,23,22,18,25,17,16,16,15,Punjab-Payal,Payal
16,Er. JAGTAR SINGH LAMBA,Independent,18,25,25,30,39,36,30,30,32,51,34,19,35,31,20,Punjab-Payal,Payal
17,ADVOCATE PRABHJOT SINGH,Independent,27,42,18,21,11,20,21,9,16,12,11,20,11,14,18,Punjab-Payal,Payal
18,MALKIT SINGH,Independent,5,9,7,7,14,6,3,3,7,6,4,8,6,5,4,Punjab-Payal,Payal
19,NOTA,None of the Above,40,28,55,49,29,33,42,33,33,50,20,34,26,22,16,Punjab-Payal,Payal
