O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,GURIQBAL SINGH MAHAL,Shiromani Akali Dal,2817,3112,3039,2930,2494,2583,2500,2162,1813,2322,2739,2439,2599,2669,2282,2625,Punjab-Qadian,Qadian
2,JAGROOP SINGH SEKHWAN,Aam Aadmi Party,1720,2179,2299,2722,2766,2420,2375,2017,1938,1799,2511,2297,1654,1786,2232,1480,Punjab-Qadian,Qadian
3,PARTAP SINGH BAJWA,Indian National Congress,3261,2416,2558,3522,3065,2579,3010,2761,2704,3068,3654,3156,3055,2565,3883,2859,Punjab-Qadian,Qadian
4,HARDIP SINGH,Nationalist Justice Party,23,19,22,26,30,29,26,23,31,24,15,20,27,29,29,39,Punjab-Qadian,Qadian
5,JATINDERBIR SINGH PANNU,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),178,169,71,70,231,396,335,434,577,311,76,195,218,340,427,243,Punjab-Qadian,Qadian
6,MASTER JOHAR SINGH,Shiromani Akali Dal (Sanyukt),17,23,165,98,34,10,49,81,31,15,79,22,28,29,23,13,Punjab-Qadian,Qadian
7,DR. FAROOQ MASIH,Peoples Party of India (Democratic),8,5,10,22,17,9,8,8,7,8,4,4,7,7,4,10,Punjab-Qadian,Qadian
8,AMARPARTAP SINGH,Independent,7,19,12,14,24,17,9,13,8,9,12,12,12,11,9,13,Punjab-Qadian,Qadian
9,JASPAL SINGH,Independent,24,262,23,29,45,24,28,16,12,14,24,13,21,22,15,12,Punjab-Qadian,Qadian
10,PREM SINGH,Independent,10,22,7,13,15,14,13,7,6,13,4,12,15,14,7,9,Punjab-Qadian,Qadian
11,MOHNIT SINGH,Independent,30,32,22,31,29,31,28,16,17,12,15,42,32,26,12,25,Punjab-Qadian,Qadian
12,RAJWINDER SINGH,Independent,20,23,20,25,26,25,24,23,19,17,9,25,16,22,5,19,Punjab-Qadian,Qadian
13,NOTA,None of the Above,50,61,57,66,84,43,42,38,26,36,28,64,51,50,22,42,Punjab-Qadian,Qadian
