O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,state_city,constituency_from_link
1,SUKHBINDER SINGH SARKARIA,Indian National Congress,2085,1879,1926,2621,1889,1767,1881,2406,2124,1839,2032,2248,1941,1682,2302,2607,2463,2098,2791,2333,1175,1946,767,Punjab-Raja Sansi,Raja Sansi
2,BALDEV SINGH MIADIAN,Aam Aadmi Party,1877,1760,1380,1224,1395,1690,1144,1937,1759,1887,1549,1746,1796,1658,1440,1894,2028,1677,1298,1203,1762,2379,781,Punjab-Raja Sansi,Raja Sansi
3,BHUPINDER SINGH CHHINA,Communist Party of India (Marxist),40,16,39,33,12,19,20,23,17,38,11,26,22,21,23,25,24,20,17,12,12,26,7,Punjab-Raja Sansi,Raja Sansi
4,MUKHWINDER SINGH,Bharatiya Janata Party,107,119,199,77,34,41,61,44,86,87,56,52,39,45,48,61,70,117,71,173,612,157,17,Punjab-Raja Sansi,Raja Sansi
5,VIR SINGH LOPOKE,Shiromani Akali Dal,1896,1569,1428,1905,1618,2270,2257,1839,1459,2215,2406,2382,1755,1722,2032,2039,1874,1633,2075,1477,1349,1540,593,Punjab-Raja Sansi,Raja Sansi
6,HARJINDER KAUR,Samajik Sangharsh Party,36,26,22,33,15,15,17,15,54,20,19,27,23,25,20,19,15,20,20,17,9,23,5,Punjab-Raja Sansi,Raja Sansi
7,SATNAM SINGH,Independent,88,84,71,60,30,37,46,68,93,138,40,103,49,51,30,33,45,42,28,16,33,314,27,Punjab-Raja Sansi,Raja Sansi
8,GURLAL SINGH,Independent,29,29,32,31,11,15,13,19,17,20,11,15,19,25,18,24,24,17,6,18,10,22,4,Punjab-Raja Sansi,Raja Sansi
9,YADWINDER SINGH,Independent,29,23,24,26,18,40,25,25,31,40,38,32,55,24,25,50,33,48,34,16,39,28,16,Punjab-Raja Sansi,Raja Sansi
10,LAKHBIR SINGH,Independent,34,20,28,29,15,20,14,23,18,34,14,26,25,18,28,32,27,19,17,21,15,25,8,Punjab-Raja Sansi,Raja Sansi
11,NOTA,None of the Above,59,70,74,98,51,44,62,57,37,58,36,59,62,49,67,71,75,66,50,67,30,40,23,Punjab-Raja Sansi,Raja Sansi
