O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Hardial Singh Kamboj,Indian National Congress,2205,1807,2216,2021,2477,1437,1078,1275,2327,2314,2346,1864,2334,2150,669,Punjab-Rajpura,Rajpura
2,Charanjit Singh Brar,Shiromani Akali Dal,1283,875,907,701,584,437,288,574,1508,1684,1470,1078,1725,1396,457,Punjab-Rajpura,Rajpura
3,Jagdish Kumar Jagga,Bharatiya Janata Party,959,2488,1929,2196,2741,4881,6588,4076,702,897,1340,1144,1415,641,255,Punjab-Rajpura,Rajpura
4,Neena Mittal,Aam Aadmi Party,3760,4008,4241,4408,3058,2918,1950,2397,3896,3646,3739,4700,4884,5191,1821,Punjab-Rajpura,Rajpura
5,Avtar Singh Harpalpur,Lok Insaaf Party,16,15,16,14,13,23,11,7,18,20,18,20,24,24,6,Punjab-Rajpura,Rajpura
6,Jagjit Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),318,293,221,219,87,124,85,184,216,478,157,265,178,431,84,Punjab-Rajpura,Rajpura
7,Harinder Singh,Independent,15,17,11,12,10,5,6,5,11,16,9,11,7,15,4,Punjab-Rajpura,Rajpura
8,Gursewak Singh,Independent,24,21,25,21,8,7,9,15,16,21,30,28,26,25,13,Punjab-Rajpura,Rajpura
9,Dr. Bhai Paramjit Singh,Independent,28,46,31,36,29,32,29,43,33,55,38,90,58,86,27,Punjab-Rajpura,Rajpura
10,Parveen Kumar,Independent,20,29,38,20,13,12,12,9,29,31,26,35,33,39,12,Punjab-Rajpura,Rajpura
11,NOTA,None of the Above,52,85,89,71,79,45,55,51,54,63,71,76,65,57,19,Punjab-Rajpura,Rajpura
