O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,state_city,constituency_from_link
1,SANJEEV VASHISHT,Bharatiya Janata Party,1197,976,1798,645,425,193,122,247,880,1581,969,998,960,807,870,1028,969,1028,926,365,Punjab-S.A.S. Nagar,S.A.S. Nagar
2,KULWANT SINGH,Aam Aadmi Party,3479,4017,3907,4118,4380,4567,4641,4986,4954,3664,3551,3564,3250,3314,3668,4410,3633,3610,3053,2149,Punjab-S.A.S. Nagar,S.A.S. Nagar
3,PARVINDER SINGH BAIDWAN,Shiromani Akali Dal,392,564,617,1839,584,576,571,685,444,402,334,369,255,312,255,360,242,376,275,149,Punjab-S.A.S. Nagar,S.A.S. Nagar
4,BALBIR SINGH SIDHU,Indian National Congress,2624,2550,2402,1905,2290,2670,2812,2629,2707,2581,2153,2218,2163,2119,1690,1495,1565,2003,1599,754,Punjab-S.A.S. Nagar,S.A.S. Nagar
5,SHINDERPAL SINGH,Punjab National Party,22,26,24,10,15,28,24,26,32,21,11,6,10,6,6,14,3,8,7,4,Punjab-S.A.S. Nagar,S.A.S. Nagar
6,BALWINDER KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),90,139,123,314,197,257,247,179,160,97,85,66,88,79,89,115,84,100,56,53,Punjab-S.A.S. Nagar,S.A.S. Nagar
7,MANIKSHA,Samaj Adhikar Kalyan Party,20,21,31,25,22,43,27,27,44,32,6,5,2,6,3,8,5,7,4,5,Punjab-S.A.S. Nagar,S.A.S. Nagar
8,HARSIMRAN SINGH,Independent,80,65,69,49,63,82,73,91,100,64,38,23,11,19,16,44,28,9,11,12,Punjab-S.A.S. Nagar,S.A.S. Nagar
9,RAVNEET SINGH BRAR,Independent,51,71,86,105,83,99,118,98,147,91,144,276,220,197,220,220,99,279,208,150,Punjab-S.A.S. Nagar,S.A.S. Nagar
10,NOTA,None of the Above,59,58,75,56,43,38,52,52,102,74,65,67,39,75,80,59,49,68,51,23,Punjab-S.A.S. Nagar,S.A.S. Nagar
