O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,state_city,constituency_from_link
1,SHARANJIT SINGH DHILLON,Shiromani Akali Dal,2328,1910,2463,1821,2246,2238,1976,1912,1870,1911,2301,2112,1590,2051,1942,1853,1814,2353,1833,1466,1677,Punjab-Sahnewal,Sahnewal
2,HARDEEP SINGH MUNDIAN,Aam Aadmi Party,2654,3398,2398,3385,3588,3892,3493,3490,3205,3424,2238,2710,2750,2108,2850,3455,3044,2045,2350,2994,1841,Punjab-Sahnewal,Sahnewal
3,VIKRAM SINGH BAJWA,Indian National Congress,2786,3090,3093,2798,1749,1439,1033,806,1212,1994,2862,2300,1953,2925,2105,1753,1934,3515,2578,1802,2504,Punjab-Sahnewal,Sahnewal
4,AMRITPAL SINGH CHHANDRAN,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),588,553,865,309,190,233,419,177,320,305,458,706,459,710,739,315,600,916,672,989,364,Punjab-Sahnewal,Sahnewal
5,INDER DEV PANDEY,Insaniyat Lok Vikas Party,14,11,8,22,9,10,7,16,13,21,23,8,12,12,4,7,1,9,10,8,7,Punjab-Sahnewal,Sahnewal
6,HARPREET SINGH GARCHA,Shiromani Akali Dal (Sanyukt),262,301,250,757,898,808,1049,1827,1527,1077,984,163,799,53,346,600,195,48,69,86,26,Punjab-Sahnewal,Sahnewal
7,GURCHARAN SINGH RAJPUT,Janata Dal (United),8,17,12,13,25,14,13,19,19,32,18,3,28,10,4,17,2,9,6,10,6,Punjab-Sahnewal,Sahnewal
8,GURDEEP SINGH KAHLON,Nationalist Justice Party,13,8,11,9,13,6,18,19,12,5,15,6,14,8,4,1,5,8,8,7,6,Punjab-Sahnewal,Sahnewal
9,GURMIT SINGH MUNDIAN,Lok Insaaf Party,8,12,6,22,31,43,241,75,41,22,23,17,24,16,7,10,7,4,12,12,6,Punjab-Sahnewal,Sahnewal
10,DALBIR SINGH,Peoples Party of India (Democratic),13,18,8,15,21,12,4,18,9,20,12,23,7,5,2,5,5,3,11,5,4,Punjab-Sahnewal,Sahnewal
11,DEEPAK DHIR,Samajwadi Party,22,16,17,14,21,11,10,32,29,13,21,9,15,8,8,10,7,6,4,3,8,Punjab-Sahnewal,Sahnewal
12,LAKHWINDER SINGH,Aam Lok Party United,10,11,12,11,15,10,7,11,12,7,11,6,13,6,3,9,2,6,13,28,4,Punjab-Sahnewal,Sahnewal
13,SURINDER PAL KAUR,Independent,16,12,16,10,5,6,6,10,13,9,13,5,41,8,4,6,6,12,13,8,8,Punjab-Sahnewal,Sahnewal
14,HARJIT SINGH,Independent,34,18,35,33,15,12,6,19,24,27,61,21,23,33,14,10,18,32,27,22,21,Punjab-Sahnewal,Sahnewal
15,BUDH SINGH,Independent,18,24,23,21,22,19,11,18,28,33,20,17,27,16,23,21,11,36,21,23,8,Punjab-Sahnewal,Sahnewal
16,BHOLA SINGH,Independent,57,81,93,49,59,29,34,45,34,56,64,46,60,45,28,31,28,34,65,43,39,Punjab-Sahnewal,Sahnewal
17,MALWINDER SINGH GURON,Independent,43,43,53,37,28,24,26,18,20,45,25,75,32,33,35,45,47,34,24,45,50,Punjab-Sahnewal,Sahnewal
18,MAJOR SINGH,Independent,12,27,15,17,21,12,16,9,24,19,13,23,26,18,72,10,16,5,16,28,11,Punjab-Sahnewal,Sahnewal
19,MOHAN SINGH,Independent,22,44,22,35,21,11,12,9,11,26,21,20,14,23,15,26,13,13,23,16,22,Punjab-Sahnewal,Sahnewal
20,NOTA,None of the Above,21,32,33,43,45,80,46,46,46,31,28,21,33,10,25,32,18,19,23,27,14,Punjab-Sahnewal,Sahnewal
