O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,SURJIT SINGH RAKHRA,Shiromani Akali Dal,2835,1231,1658,1879,1946,1988,2351,2091,2122,2004,2477,2036,2326,2379,2159,2120,994,Punjab-Samana,Samana
2,CHETAN SINGH JOURAMAJRA,Aam Aadmi Party,4309,5099,5155,4847,4177,4390,4658,3859,4705,5581,4541,4594,4279,4191,3978,3925,1778,Punjab-Samana,Samana
3,RAJINDER SINGH,Indian National Congress,1355,1143,1073,1023,1517,1305,1341,1708,1147,1672,1643,1404,1572,1670,1802,1277,886,Punjab-Samana,Samana
4,AJAIB SINGH BATHOI,Samajwadi Party,20,17,20,26,32,33,19,27,25,18,23,16,31,21,32,33,16,Punjab-Samana,Samana
5,SURINDER SINGH KHERKI,Punjab Lok Congress Party,108,109,123,223,404,146,68,79,190,206,540,1275,633,231,170,329,221,Punjab-Samana,Samana
6,HARDEEP SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),89,96,198,129,77,184,341,268,528,254,187,153,227,346,429,190,126,Punjab-Samana,Samana
7,JAGANDEEP KAUR,Punjab Kisan Dal,9,20,27,24,18,14,21,25,33,27,18,13,13,30,25,35,18,Punjab-Samana,Samana
8,RACHHPAL SINGH JOURAMAJRA,Sanyukt Sangharsh Party,55,63,155,144,108,96,151,67,107,102,40,70,43,106,80,72,16,Punjab-Samana,Samana
9,ASHWANI KUMAR,Independent,26,31,22,41,29,23,28,32,29,29,26,17,19,31,15,19,12,Punjab-Samana,Samana
10,PARAMJIT SINGH SAHOLI,Independent,19,19,41,22,47,16,15,16,15,12,7,9,3,14,10,8,4,Punjab-Samana,Samana
11,PARVEEN KUMAR,Independent,5,11,11,6,14,6,6,8,14,17,33,8,13,12,11,15,5,Punjab-Samana,Samana
12,POONAM RANI,Independent,16,13,10,15,8,13,17,16,14,16,12,20,20,16,15,18,8,Punjab-Samana,Samana
13,RAJU RAM,Independent,71,87,92,77,77,83,72,83,76,102,52,23,42,80,58,63,36,Punjab-Samana,Samana
14,LOVEPREET SINGH,Independent,47,75,83,58,52,70,102,80,76,122,53,41,38,53,58,61,40,Punjab-Samana,Samana
15,NOTA,None of the Above,80,60,62,79,75,59,67,46,74,83,66,71,50,71,57,57,45,Punjab-Samana,Samana
