O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,state_city,constituency_from_link
1,HARMIT SINGH PATHANMAJRA,Aam Aadmi Party,4179,4567,4825,5347,4942,3950,5707,4617,3526,3765,3911,4727,4917,4032,4389,3467,3223,3891,3832,1306,514,Punjab-Sanour,Sanour
2,HARINDER PAL SINGH HARRY MANN,Indian National Congress,1380,1047,1093,1314,1470,1205,975,1202,1535,1350,1333,1739,1462,1058,1392,1204,1545,1349,1247,366,99,Punjab-Sanour,Sanour
3,HARINDER PAL SINGH CHANDUMAJRA,Shiromani Akali Dal,1701,1587,1568,1243,1559,1669,1872,1965,1696,1984,1904,2116,2118,1883,1959,1976,1882,1685,1533,577,227,Punjab-Sanour,Sanour
4,NAVJOT SINGH,Jai Jawan Jai Kisan Party,37,48,45,51,87,37,75,51,54,51,45,56,47,37,48,43,48,53,42,13,8,Punjab-Sanour,Sanour
5,BIKRAMJIT INDER SINGH CHAHAL,Punjab Lok Congress Party,212,413,536,557,395,194,671,469,369,464,417,465,544,428,705,811,391,573,437,130,14,Punjab-Sanour,Sanour
6,VIKRAMJEET SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),404,366,268,197,319,166,438,284,292,258,412,126,165,170,169,178,170,255,173,71,50,Punjab-Sanour,Sanour
7,AJAY KUMAR,Independent,3,5,7,8,11,5,7,9,8,6,7,7,3,5,16,10,6,5,5,2,0,Punjab-Sanour,Sanour
8,SURINDER SINGH,Independent,11,13,13,16,8,7,11,18,9,10,9,6,17,7,19,6,6,12,9,3,3,Punjab-Sanour,Sanour
9,HARMEET SINGH MURADMAJRA,Independent,7,29,14,17,12,9,30,16,16,15,18,28,20,11,24,18,15,14,14,6,5,Punjab-Sanour,Sanour
10,GURPREET SINGH,Independent,9,13,9,16,18,19,35,19,26,11,16,15,13,9,25,16,17,18,14,4,4,Punjab-Sanour,Sanour
11,JAGDEV SINGH,Independent,14,17,29,12,13,11,14,12,21,24,17,34,16,14,29,18,16,17,13,6,1,Punjab-Sanour,Sanour
12,JATINDER,Independent,21,32,24,31,37,22,37,54,51,44,29,31,28,38,73,48,43,34,32,14,3,Punjab-Sanour,Sanour
13,BUTA SINGH,Independent,83,83,58,47,58,56,46,62,74,73,143,75,61,258,85,47,52,96,97,45,16,Punjab-Sanour,Sanour
14,MOHAN LAL GHARAM WALE,Independent,25,26,6,17,17,21,21,24,41,25,22,21,25,27,21,30,34,35,21,7,3,Punjab-Sanour,Sanour
15,NOTA,None of the Above,67,77,67,86,104,99,78,113,83,74,78,71,100,58,121,70,68,79,85,30,5,Punjab-Sanour,Sanour
