O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,Kulwinder Singh,Communist Party of India (Marxist),34,32,44,31,316,48,51,66,80,29,44,44,23,29,25,Punjab-Sardulgarh,Sardulgarh
2,Gurpreet Singh Banawali,Aam Aadmi Party,5643,5480,6097,4959,6644,4749,5058,5165,5520,3967,4534,4956,4890,4734,2942,Punjab-Sardulgarh,Sardulgarh
3,Jagjit Singh Milkha,Bharatiya Janata Party,53,58,94,59,94,60,70,139,68,110,145,299,285,240,230,Punjab-Sardulgarh,Sardulgarh
4,Dilraj Singh Bhundar,Shiromani Akali Dal,1880,2322,1997,2067,1657,2229,1826,2244,2425,2033,2951,2020,2030,2292,1599,Punjab-Sardulgarh,Sardulgarh
5,Bikram Singh,Indian National Congress,1577,1492,2113,2632,2686,2576,2408,2255,2503,2802,2532,2257,2377,2365,1736,Punjab-Sardulgarh,Sardulgarh
6,Gurdeep Singh Sidhu,Jai Jawan Jai Kisan Party,16,14,17,10,26,22,19,60,27,18,24,21,23,22,10,Punjab-Sardulgarh,Sardulgarh
7,Gurmeet Singh Nandgarh,Communist Party of India (Marxist-Leninist) (Liberation),17,30,127,36,67,29,49,45,23,77,13,26,14,8,10,Punjab-Sardulgarh,Sardulgarh
8,Baldev Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),132,84,239,107,238,168,207,243,202,173,135,128,103,128,50,Punjab-Sardulgarh,Sardulgarh
9,Gursewak Singh,Independent,50,62,53,60,56,37,87,988,97,84,83,58,61,78,68,Punjab-Sardulgarh,Sardulgarh
10,Chet Ram,Independent,16,21,26,43,40,32,32,32,35,32,36,42,20,23,17,Punjab-Sardulgarh,Sardulgarh
11,Chhota Singh,Independent,22,25,33,24,34,104,26,42,32,28,29,43,40,37,17,Punjab-Sardulgarh,Sardulgarh
12,Jaswinder Singh,Independent,20,26,15,20,25,19,17,23,33,20,20,22,19,25,21,Punjab-Sardulgarh,Sardulgarh
13,Pardeep Singh,Independent,51,74,53,58,64,45,44,41,44,40,45,40,29,40,28,Punjab-Sardulgarh,Sardulgarh
14,NOTA,None of the Above,36,52,35,33,79,38,30,71,46,19,43,77,45,42,34,Punjab-Sardulgarh,Sardulgarh
