O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,state_city,constituency_from_link
1,Hardev Singh Laddi,Indian National Congress,2716,3203,2719,2871,3402,3179,3589,2699,2472,2550,2459,2965,2808,2757,2707,3365,2880,2196,Punjab-Shahkot,Shahkot
2,Jaskaranjeet Singh,Communist Party of India (Marxist),36,23,98,39,69,61,129,41,38,35,23,29,53,17,22,48,109,30,Punjab-Shahkot,Shahkot
3,Narinder Pal Singh Chandi,Bharatiya Janata Party,40,44,151,196,146,161,52,39,41,34,27,78,24,94,123,123,41,26,Punjab-Shahkot,Shahkot
4,Bachitar Singh Kohar,Shiromani Akali Dal,2258,2417,2117,2420,2578,2179,2014,2117,1894,2254,1939,2164,2172,1791,2248,2426,2758,1724,Punjab-Shahkot,Shahkot
5,Rattan Singh,Aam Aadmi Party,1461,1581,1946,1474,1845,1589,1961,1543,1550,1477,1374,1804,1395,1735,1502,1498,2383,1072,Punjab-Shahkot,Shahkot
6,Sukhdev,Bahujan Samaj Party (Ambedkar),25,15,15,21,23,9,12,14,18,41,13,21,17,23,8,19,23,17,Punjab-Shahkot,Shahkot
7,Sulakhan Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),336,302,295,282,320,312,394,281,389,388,256,446,478,282,316,263,232,200,Punjab-Shahkot,Shahkot
8,Dr. Jagtar Singh chandi,Sanyukt Sangharsh Party,82,64,44,94,54,124,81,63,90,110,198,80,140,76,106,88,112,59,Punjab-Shahkot,Shahkot
9,Satwant Singh,Independent,20,26,21,21,30,18,43,12,25,20,22,27,21,13,18,24,45,16,Punjab-Shahkot,Shahkot
10,Kashmir Singh,Independent,14,15,13,6,12,15,22,11,20,17,19,24,17,23,16,20,26,20,Punjab-Shahkot,Shahkot
11,Paramjot,Independent,5,15,5,9,11,3,16,4,17,6,9,13,10,11,13,16,18,4,Punjab-Shahkot,Shahkot
12,NOTA,None of the Above,38,57,39,36,55,61,55,27,45,49,36,60,50,44,40,57,68,46,Punjab-Shahkot,Shahkot
