O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,state_city,constituency_from_link
1,Kulwant Singh Bazigar,Aam Aadmi Party,6040,5586,6326,5899,5924,5188,5865,6085,5928,5821,5499,4595,4107,4985,3237,341,Punjab-Shutrana,Shutrana
2,Darbara Singh,Indian National Congress,921,612,775,492,704,1081,719,518,814,836,487,851,1246,630,617,12,Punjab-Shutrana,Shutrana
3,Vaninder Kaur Loomba,Shiromani Akali Dal,2230,2731,2051,1749,1806,1775,1959,1976,1723,1859,2610,2571,2232,1698,1069,92,Punjab-Shutrana,Shutrana
4,Sukhwinder Singh,Samajwadi Party,45,68,49,84,141,78,59,63,37,47,60,70,45,39,35,0,Punjab-Shutrana,Shutrana
5,Gurjit Singh,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),330,547,327,263,708,334,289,280,206,322,457,484,537,680,194,17,Punjab-Shutrana,Shutrana
6,Naryan Singh,Punjab Lok Congress Party,55,96,160,100,85,197,137,262,768,305,95,475,270,255,297,9,Punjab-Shutrana,Shutrana
7,Amarjit Singh,Independent,62,74,89,131,95,297,91,109,49,64,63,85,67,133,95,9,Punjab-Shutrana,Shutrana
8,Gurdhian Singh,Independent,37,53,50,26,24,30,25,33,21,21,51,25,30,39,13,0,Punjab-Shutrana,Shutrana
9,Narinder,Independent,31,24,31,21,28,22,30,34,33,27,35,40,14,25,13,2,Punjab-Shutrana,Shutrana
10,NOTA,None of the Above,143,97,122,102,91,78,122,109,94,79,121,127,75,109,58,6,Punjab-Shutrana,Shutrana
