O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,state_city,constituency_from_link
1,AMARPAL SINGH,Aam Aadmi Party,2734,2398,2945,3570,4096,3787,3581,2867,3405,3250,3051,3809,3529,3097,3356,2857,284,Punjab-Sri Hargobindpur,Sri Hargobindpur
2,BALJINDER SINGH,Bharatiya Janata Party,66,58,89,50,58,61,50,109,54,174,76,79,59,80,133,32,9,Punjab-Sri Hargobindpur,Sri Hargobindpur
3,MANDEEP SINGH,Indian National Congress,2480,1940,2027,1180,998,1595,1586,1535,1127,1064,1655,1711,1606,1233,1913,750,31,Punjab-Sri Hargobindpur,Sri Hargobindpur
4,RAJANBIR SINGH,Shiromani Akali Dal,2188,2204,2170,2515,2462,2382,2452,2584,1992,2276,2268,2162,2223,1835,2142,1918,232,Punjab-Sri Hargobindpur,Sri Hargobindpur
5,JASBIR SINGH CHAHAL,Bahujan Samaj Party (Ambedkar),62,139,99,90,143,113,92,86,164,83,91,124,121,94,108,105,15,Punjab-Sri Hargobindpur,Sri Hargobindpur
6,MUKHTAR SINGH,Peoples Party of India (Democratic),20,20,17,19,23,25,29,25,59,19,16,30,33,21,39,23,2,Punjab-Sri Hargobindpur,Sri Hargobindpur
7,RESHAM SINGH,Sanjhi Virasat Party,18,13,17,22,20,15,14,18,24,18,29,17,66,19,26,16,1,Punjab-Sri Hargobindpur,Sri Hargobindpur
8,HANSA SINGH,Independent,24,20,20,18,26,35,15,35,25,38,39,33,39,18,31,56,4,Punjab-Sri Hargobindpur,Sri Hargobindpur
9,DR. KAMALJIT SINGH,Independent,70,106,134,76,165,429,222,505,157,421,410,323,522,156,222,769,37,Punjab-Sri Hargobindpur,Sri Hargobindpur
10,NOTA,None of the Above,75,76,89,98,108,97,91,62,89,74,58,115,114,64,97,84,7,Punjab-Sri Hargobindpur,Sri Hargobindpur
