O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,AMIT SINGH (MANTO),Aam Aadmi Party,1859,2122,1755,1665,1946,2537,3051,2361,2557,1906,1923,1700,1737,1244,440,Punjab-Sujanpur,Sujanpur
2,DINESH SINGH (BABBU),Bharatiya Janata Party,2013,2259,2102,1978,2672,3156,3390,3402,3150,3940,3116,3760,3012,3245,478,Punjab-Sujanpur,Sujanpur
3,NARESH PURI,Indian National Congress,3760,3596,2910,3272,3868,3326,3265,3173,3325,3810,3071,2775,3022,2810,473,Punjab-Sujanpur,Sujanpur
4,RAJ KUMAR GUPTA (BITTU),Shiromani Akali Dal,873,846,1010,2331,418,334,492,322,291,203,166,101,174,324,58,Punjab-Sujanpur,Sujanpur
5,MANDEEP KAUR,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),25,75,37,25,150,63,28,120,42,75,12,9,5,9,3,Punjab-Sujanpur,Sujanpur
6,KANWAR VISHWADEEP SINGH SALARIA,Independent,24,16,15,16,20,24,14,31,13,23,19,20,16,18,0,Punjab-Sujanpur,Sujanpur
7,DESH RAJ,Independent,23,40,30,28,20,15,19,18,20,8,8,15,13,14,1,Punjab-Sujanpur,Sujanpur
8,BABA PAWAN KUMAR,Independent,37,35,18,26,32,27,44,23,28,25,34,18,38,34,2,Punjab-Sujanpur,Sujanpur
9,MANGA,Independent,30,24,15,21,18,29,55,22,22,7,30,25,23,31,1,Punjab-Sujanpur,Sujanpur
10,NOTA,None of the Above,74,77,43,46,50,57,64,62,49,45,56,41,63,55,7,Punjab-Sujanpur,Sujanpur
