O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,state_city,constituency_from_link
1,SAJJAN SINGH CHEEMA,Aam Aadmi Party,1443,1631,2873,2859,2776,2106,2726,1697,2455,1401,2097,1813,1607,2122,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
2,HARMINDER SINGH,Shiromani Akali Dal,1390,1170,745,1075,1620,846,778,1363,1584,1284,1520,1105,1781,1113,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
3,NAVTEJ SINGH CHEEMA,Indian National Congress,1111,1212,884,812,821,849,766,985,784,864,1150,1070,921,1164,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
4,SARDOOL SINGH,Insaniyat Lok Vikas Party,7,12,10,10,11,10,6,29,14,24,19,8,15,17,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
5,JAGTAR,Bahujan Samaj Party (Ambedkar),19,44,34,34,63,15,37,34,24,21,13,16,15,33,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
6,JUGRAJ PAL SINGH SAHI,Shiromani Akali Dal (Sanyukt),7,8,16,40,34,192,67,3,14,6,24,25,8,14,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
7,MUKHTIAR SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),268,251,156,299,303,163,284,144,203,139,186,107,243,296,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
8,HARPRITPAL SIGH VIRK,Independent,52,55,44,56,41,64,73,45,58,40,32,19,26,99,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
9,DHARAMPAL,Independent,46,23,35,32,18,17,24,18,21,22,27,28,26,40,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
10,RANA INDER PARTAP SINGH,Independent,3213,3012,3624,3481,2959,1495,2897,2285,3111,2811,3753,2642,2770,3072,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
11,NOTA,None of the Above,46,51,51,47,58,68,68,40,70,29,59,49,43,60,Punjab-Sultanpur Lodhi,Sultanpur Lodhi
