O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,state_city,constituency_from_link
1,AMAN ARORA,Aam Aadmi Party,6618,4950,6350,5930,5844,6214,6210,5982,6675,6547,5948,7677,5881,6988,6460,Punjab-Sunam,Sunam
2,JASWINDER SINGH DHIMAN S/o AMARJIT SINGH,Indian National Congress,1504,1352,1481,1477,1318,1612,1681,808,907,1218,854,1064,1615,1373,1199,Punjab-Sunam,Sunam
3,BALDEV SINGH MAAN,Shiromani Akali Dal,709,1086,645,1099,1158,985,1142,798,431,777,388,745,553,1079,1067,Punjab-Sunam,Sunam
4,AMRITPAL SINGH SIDHU,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1012,563,963,665,1073,1159,530,553,393,137,306,726,747,834,1039,Punjab-Sunam,Sunam
5,SANMUKH SINGH MOKHA,Shiromani Akali Dal (Sanyukt),426,311,574,691,716,612,638,750,1436,790,1220,1005,738,876,505,Punjab-Sunam,Sunam
6,HARBHAGWAN SHARMA BHIKHI,Communist Party of India (Marxist-Leninist) (Liberation),16,9,9,14,35,19,16,26,9,9,4,20,19,29,22,Punjab-Sunam,Sunam
7,KARNAIL SINGH,Bahujan Mukti Party,6,7,14,17,72,36,24,21,7,7,8,32,16,28,35,Punjab-Sunam,Sunam
8,AMARJIT SINGH MANN,Independent,116,86,197,90,45,35,66,141,26,19,17,37,35,62,77,Punjab-Sunam,Sunam
9,JASVINDER SINGH DHIMAN S/o DARSHAN SINGH,Independent,51,28,48,41,70,64,37,44,16,22,9,47,52,46,37,Punjab-Sunam,Sunam
10,PARGAT SINGH,Independent,23,22,24,24,29,32,17,26,4,18,4,23,28,28,31,Punjab-Sunam,Sunam
11,YADWINDER SINGH,Independent,35,50,19,44,48,42,34,23,9,10,15,24,26,36,39,Punjab-Sunam,Sunam
12,RANJIT SINGH,Independent,80,62,65,151,188,81,64,52,16,28,16,38,54,90,48,Punjab-Sunam,Sunam
13,NOTA,None of the Above,84,87,106,100,125,114,111,122,78,81,62,109,93,129,99,Punjab-Sunam,Sunam
